iso_time,monotonic_s,frame_count,replay_index,f_target_hz,Va_rms,Vb_rms,Vc_rms,Ib_rms,Ic_rms,f_Va,f_Vb,f_Vc,THD_Va,THD_Vb,THD_Vc,Ph_VbIb,Ph_VcIc,Pb,Qb,Sb,PFb,Pc,Qc,Sc,PFc,FREQ_alarm,UV_alarm,THD_alarm,dnp3_bytes
2026-07-14T16:43:52.104+00:00,0.016,968,0,50.0450,0.9883,0.7583,0.8526,0.54530,0.58260,49.9950,50.0075,49.9913,8.466,1.875,8.403,39.474,48.600,0.33300,0.27420,0.43140,0.7719,0.33980,0.38550,0.51390,0.6613,0,0,1,147
2026-07-14T16:43:53.064+00:00,0.976,969,0,50.0450,0.9914,0.7597,0.8521,0.54590,0.58200,50.0000,49.9950,50.0025,8.668,2.243,8.678,39.600,48.762,0.33220,0.27480,0.43120,0.7705,0.33860,0.38630,0.51370,0.6592,0,0,1,147
2026-07-14T16:43:54.025+00:00,1.938,970,1,50.0420,0.9873,0.7582,0.8547,0.54510,0.58220,49.9900,50.0075,49.9987,8.350,2.197,8.698,39.582,48.762,0.33200,0.27440,0.43070,0.7707,0.33810,0.38570,0.51290,0.6592,0,0,1,147
2026-07-14T16:43:54.985+00:00,2.897,971,2,50.0400,0.9879,0.7586,0.8537,0.54500,0.58150,49.9975,50.0075,49.9975,8.585,2.209,8.671,39.528,48.744,0.33310,0.27480,0.43180,0.7713,0.33890,0.38640,0.51390,0.6594,0,0,1,147
2026-07-14T16:43:55.945+00:00,3.857,972,3,50.0380,0.9878,0.7590,0.8520,0.54540,0.58220,49.9950,49.9925,50.0037,8.597,2.120,8.706,39.510,48.744,0.33280,0.27440,0.43130,0.7715,0.33880,0.38630,0.51380,0.6594,0,0,1,147
2026-07-14T16:43:56.905+00:00,4.817,973,4,50.0350,0.9884,0.7583,0.8527,0.54620,0.58210,49.9900,50.0000,49.9975,8.367,2.196,8.630,39.510,48.780,0.33270,0.27430,0.43120,0.7715,0.33900,0.38700,0.51450,0.6590,0,0,1,147
2026-07-14T16:43:57.866+00:00,5.778,974,5,50.0330,0.9926,0.7590,0.8530,0.54490,0.58250,50.0025,49.9950,49.9900,8.356,2.225,8.670,39.582,48.762,0.33240,0.27480,0.43120,0.7707,0.33880,0.38650,0.51390,0.6592,0,0,1,147
2026-07-14T16:43:58.825+00:00,6.737,975,6,50.0320,0.9886,0.7588,0.8529,0.54610,0.58250,49.9950,50.0000,50.0013,8.386,2.254,8.698,39.564,48.744,0.33210,0.27440,0.43080,0.7709,0.33880,0.38620,0.51370,0.6594,0,0,1,147
2026-07-14T16:43:59.785+00:00,7.698,976,7,50.0350,0.9887,0.7570,0.8553,0.54490,0.58260,49.9950,50.0000,49.9963,8.566,2.021,8.673,39.546,48.762,0.33270,0.27470,0.43140,0.7711,0.33890,0.38660,0.51410,0.6592,0,0,1,147
2026-07-14T16:44:00.745+00:00,8.657,977,8,50.0340,0.9886,0.7571,0.8554,0.54540,0.58240,49.9975,50.0050,50.0013,8.565,2.113,8.679,39.600,48.762,0.33260,0.27510,0.43160,0.7705,0.33860,0.38630,0.51370,0.6592,0,0,1,147
2026-07-14T16:44:01.706+00:00,9.619,978,9,50.0350,0.9914,0.7569,0.8548,0.54470,0.58210,49.9975,50.0025,49.9938,8.579,2.049,8.666,39.618,48.762,0.33220,0.27500,0.43120,0.7703,0.33910,0.38680,0.51440,0.6592,0,0,1,147
2026-07-14T16:44:02.666+00:00,10.578,979,10,50.0340,0.9888,0.7566,0.8534,0.54540,0.58300,50.0000,50.0000,49.9938,8.334,2.086,8.661,39.582,48.762,0.33260,0.27500,0.43150,0.7707,0.33950,0.38730,0.51500,0.6592,0,0,1,147
2026-07-14T16:44:03.625+00:00,11.538,980,11,50.0350,0.9899,0.7572,0.8564,0.54500,0.58330,49.9900,49.9975,49.9975,8.354,2.094,8.657,39.546,48.762,0.33280,0.27480,0.43160,0.7711,0.33950,0.38730,0.51510,0.6592,0,0,1,147
2026-07-14T16:44:04.587+00:00,12.499,981,12,50.0360,0.9891,0.7567,0.8560,0.54530,0.58240,49.9950,49.9900,50.0025,8.663,1.930,8.679,39.510,48.762,0.33350,0.27500,0.43220,0.7715,0.34030,0.38820,0.51620,0.6592,0,0,1,147
2026-07-14T16:44:05.546+00:00,13.458,982,13,50.0340,0.9903,0.7570,0.8569,0.54580,0.58310,49.9950,50.0000,49.9950,8.376,2.091,8.602,39.510,48.744,0.33300,0.27460,0.43170,0.7715,0.34010,0.38770,0.51570,0.6594,0,0,1,147
2026-07-14T16:44:06.507+00:00,14.419,983,14,50.0290,0.9907,0.7568,0.8552,0.54460,0.58300,50.0000,49.9975,49.9963,8.388,2.066,8.652,39.600,48.780,0.33260,0.27520,0.43170,0.7705,0.33990,0.38800,0.51580,0.6590,0,0,1,147
2026-07-14T16:44:07.467+00:00,15.380,984,15,50.0270,0.9898,0.7560,0.8569,0.54420,0.58330,50.0025,50.0050,49.9975,8.896,2.247,8.555,39.600,48.780,0.33270,0.27530,0.43180,0.7705,0.33980,0.38790,0.51570,0.6590,0,0,1,147
2026-07-14T16:44:08.426+00:00,16.338,985,16,50.0250,0.9899,0.7563,0.8566,0.54410,0.58300,50.0000,49.9950,49.9975,8.569,1.935,8.649,39.600,48.762,0.33250,0.27500,0.43150,0.7705,0.34020,0.38800,0.51600,0.6592,0,0,1,147
2026-07-14T16:44:09.387+00:00,17.299,986,17,50.0250,0.9901,0.7563,0.8565,0.54490,0.58390,50.0050,49.9975,49.9913,8.570,1.903,8.697,39.600,48.762,0.33240,0.27500,0.43140,0.7705,0.34020,0.38810,0.51610,0.6592,0,0,1,147
2026-07-14T16:44:10.348+00:00,18.260,987,18,50.0260,0.9906,0.7561,0.8554,0.54400,0.58370,49.9925,49.9925,49.9987,8.339,1.975,8.670,39.564,48.780,0.33280,0.27500,0.43170,0.7709,0.34020,0.38840,0.51630,0.6590,0,0,1,147
2026-07-14T16:44:11.308+00:00,19.220,988,19,50.0250,0.9913,0.7550,0.8576,0.54450,0.58360,49.9900,50.0100,49.9987,8.400,1.981,8.620,39.492,48.762,0.33280,0.27430,0.43130,0.7717,0.34000,0.38780,0.51570,0.6592,0,0,1,147
2026-07-14T16:44:12.267+00:00,20.179,989,20,50.0220,0.9946,0.7563,0.8554,0.54480,0.58330,49.9975,49.9975,49.9963,8.367,2.022,8.672,39.600,48.744,0.33290,0.27540,0.43200,0.7705,0.34030,0.38790,0.51600,0.6594,0,0,1,147
2026-07-14T16:44:13.228+00:00,21.140,990,21,50.0200,0.9912,0.7552,0.8580,0.54470,0.58400,50.0000,49.9975,49.9925,8.352,1.996,8.710,39.600,48.780,0.33280,0.27530,0.43190,0.7705,0.33990,0.38800,0.51580,0.6590,0,0,1,147
2026-07-14T16:44:14.188+00:00,22.100,991,22,50.0160,0.9910,0.7556,0.8576,0.54400,0.58330,49.9950,49.9925,50.0037,8.333,1.945,8.683,39.600,48.762,0.33270,0.27520,0.43180,0.7705,0.33970,0.38750,0.51530,0.6592,0,0,1,147
2026-07-14T16:44:15.149+00:00,23.061,992,23,50.0120,0.9903,0.7554,0.8564,0.54440,0.58350,49.9900,49.9925,49.9900,8.477,1.982,8.540,39.546,48.672,0.33250,0.27450,0.43120,0.7711,0.34010,0.38680,0.51500,0.6604,0,0,1,147
2026-07-14T16:44:16.108+00:00,24.020,993,24,50.0070,0.9937,0.7560,0.8586,0.54430,0.58360,49.9950,49.9950,49.9938,8.383,1.966,8.608,39.492,48.762,0.33290,0.27440,0.43140,0.7717,0.33910,0.38680,0.51440,0.6592,0,0,1,147
2026-07-14T16:44:17.068+00:00,24.980,994,24,50.0070,0.9943,0.7569,0.8590,0.54440,0.58280,49.9900,50.0075,50.0025,8.368,2.102,8.678,39.618,48.780,0.33300,0.27560,0.43220,0.7703,0.33890,0.38690,0.51430,0.6590,0,0,1,147
2026-07-14T16:44:18.029+00:00,25.941,995,25,50.0030,0.9891,0.7554,0.8544,0.54420,0.58230,50.0000,49.9950,49.9950,8.492,2.366,8.684,39.582,48.762,0.33330,0.27550,0.43240,0.7707,0.33910,0.38680,0.51440,0.6592,0,0,1,147
2026-07-14T16:44:18.988+00:00,26.901,996,26,49.9990,0.9896,0.7548,0.8553,0.54380,0.58270,49.9950,50.0025,49.9987,8.556,2.342,8.683,39.564,48.762,0.33340,0.27540,0.43250,0.7709,0.33900,0.38680,0.51430,0.6592,0,0,1,147
2026-07-14T16:44:19.949+00:00,27.861,997,27,49.9970,0.9884,0.7553,0.8536,0.54410,0.58230,49.9975,49.9950,49.9963,8.373,2.074,8.624,39.528,48.762,0.33330,0.27500,0.43210,0.7713,0.33810,0.38570,0.51290,0.6592,0,0,1,147
2026-07-14T16:44:20.909+00:00,28.821,998,28,49.9950,0.9919,0.7553,0.8577,0.54370,0.58240,50.0000,49.9975,49.9900,8.420,2.347,8.666,39.600,48.762,0.33420,0.27650,0.43380,0.7705,0.33810,0.38570,0.51290,0.6592,0,0,1,147
2026-07-14T16:44:21.870+00:00,29.782,999,29,49.9970,0.9875,0.7543,0.8542,0.54390,0.58260,50.0000,49.9925,49.9950,8.354,2.364,8.691,39.600,48.744,0.33400,0.27630,0.43340,0.7705,0.33870,0.38610,0.51360,0.6594,0,0,1,147
2026-07-14T16:44:22.830+00:00,30.742,1000,30,49.9990,0.9881,0.7546,0.8553,0.54350,0.58250,49.9950,50.0075,49.9987,8.572,2.433,8.693,39.528,48.762,0.33400,0.27560,0.43310,0.7713,0.33850,0.38610,0.51340,0.6592,0,0,1,147
2026-07-14T16:44:23.790+00:00,31.702,1001,31,50.0050,0.9884,0.7545,0.8530,0.54400,0.58240,49.9950,49.9925,49.9975,8.325,2.409,8.673,39.618,48.762,0.33370,0.27620,0.43310,0.7703,0.33860,0.38630,0.51370,0.6592,0,0,1,147
2026-07-14T16:44:24.750+00:00,32.662,1002,32,50.0090,0.9884,0.7545,0.8533,0.54390,0.58240,50.0000,49.9950,49.9925,8.360,2.464,8.694,39.600,48.762,0.33360,0.27600,0.43300,0.7705,0.33720,0.38470,0.51150,0.6592,0,0,1,147
2026-07-14T16:44:25.710+00:00,33.622,1003,33,50.0120,0.9913,0.7552,0.8574,0.54370,0.58230,49.9950,49.9975,49.9975,8.564,2.118,8.384,39.474,48.600,0.33410,0.27510,0.43280,0.7719,0.33930,0.38480,0.51300,0.6613,0,0,1,147
2026-07-14T16:44:26.670+00:00,34.582,1004,34,50.0140,0.9878,0.7542,0.8528,0.54400,0.58180,50.0000,49.9875,50.0013,8.339,2.418,8.691,39.618,48.762,0.33400,0.27650,0.43360,0.7703,0.33860,0.38630,0.51370,0.6592,0,0,1,147
2026-07-14T16:44:27.630+00:00,35.542,1005,35,50.0150,0.9877,0.7537,0.8532,0.54370,0.58200,49.9925,49.9875,50.0050,8.333,2.450,8.629,39.528,48.762,0.33360,0.27530,0.43250,0.7713,0.33840,0.38600,0.51330,0.6592,0,0,1,147
2026-07-14T16:44:28.591+00:00,36.503,1006,36,50.0170,0.9917,0.7547,0.8574,0.54380,0.58220,50.0025,49.9950,49.9987,8.374,2.437,8.630,39.510,48.762,0.33370,0.27510,0.43250,0.7715,0.33810,0.38570,0.51290,0.6592,0,0,1,147
2026-07-14T16:44:29.551+00:00,37.463,1007,37,50.0190,0.9921,0.7545,0.8576,0.54360,0.58220,49.9925,50.0075,50.0025,8.328,2.387,8.680,39.582,48.762,0.33420,0.27630,0.43360,0.7707,0.33840,0.38600,0.51340,0.6592,0,0,1,147
2026-07-14T16:44:30.510+00:00,38.422,1008,38,50.0150,0.9877,0.7530,0.8546,0.54230,0.58160,50.0025,50.0000,49.9875,8.656,1.810,8.736,39.564,48.780,0.33450,0.27640,0.43390,0.7709,0.33750,0.38530,0.51220,0.6590,0,0,1,147
