monotonic_s,ms_local,replay_index,f_target_hz,f_Vb,Va_rms,Vb_rms,Vc_rms,Ib_rms,Ic_rms
0.000,167435,,,49.9963,0.9883,0.7680,0.9596,0.5414,0.6775
0.020,167455,,,49.9987,0.9882,0.7685,0.9594,0.5412,0.6778
0.040,167475,,,49.9963,0.9883,0.7687,0.9596,0.5414,0.6775
0.060,167495,,,49.9925,0.9879,0.7681,0.9597,0.5416,0.6773
0.080,167515,,,49.9987,0.9882,0.7689,0.9595,0.5417,0.6778
0.100,167535,,,50.0013,0.9884,0.7685,0.9593,0.5410,0.6778
0.120,167555,,,50.0013,0.9882,0.7683,0.9591,0.5416,0.6775
0.140,167575,,,50.0037,0.9881,0.7685,0.9601,0.5418,0.6775
0.160,167595,,,50.0050,0.9884,0.7687,0.9601,0.5417,0.6771
0.180,167615,,,50.0000,0.9883,0.7687,0.9597,0.5418,0.6773
0.200,167635,,,49.9963,0.9879,0.7687,0.9597,0.5413,0.6775
0.220,167655,,,50.0000,0.9886,0.7685,0.9598,0.5419,0.6779
0.240,167675,,,49.9913,0.9886,0.7683,0.9597,0.5413,0.6773
0.260,167695,,,50.0037,0.9887,0.7680,0.9599,0.5411,0.6786
0.280,167715,,,50.0025,0.9878,0.7691,0.9595,0.5413,0.6777
0.300,167735,,,49.9963,0.9884,0.7682,0.9597,0.5409,0.6776
0.320,167755,,,50.0050,0.9880,0.7688,0.9594,0.5406,0.6770
0.340,167775,,,49.9987,0.9882,0.7684,0.9597,0.5413,0.6776
0.360,167795,,,49.9987,0.9883,0.7679,0.9596,0.5418,0.6773
0.380,167815,,,49.9950,0.9885,0.7687,0.9597,0.5409,0.6775
0.400,167835,,,49.9950,0.9884,0.7690,0.9592,0.5415,0.6775
0.420,167855,,,49.9975,0.9884,0.7686,0.9597,0.5417,0.6776
0.440,167875,,,50.0000,0.9880,0.7693,0.9592,0.5416,0.6775
0.460,167895,,,50.0050,0.9882,0.7685,0.9600,0.5410,0.6777
0.480,167915,,,50.0025,0.9884,0.7685,0.9595,0.5418,0.6775
0.500,167935,,,50.0050,0.9883,0.7682,0.9601,0.5416,0.6770
0.520,167955,,,50.0000,0.9885,0.7686,0.9603,0.5408,0.6767
0.540,167975,,,49.9987,0.9885,0.7681,0.9601,0.5406,0.6778
0.560,167995,,,49.9950,0.9879,0.7689,0.9595,0.5414,0.6773
