# sketch,characterise_v2loop
# mode_number,0
# mode_name,0_sept_baseline_deadline_ts_after
# label,A_b1
# ---- CHECK THE THREE LINES ABOVE BEFORE YOU KEEP THIS CAPTURE ----
# waiting 600 s for thermal settle - press any key to skip
# warm 0 s
# ----------------------------------------------------------
# n,16384
# fs_hz_window,1999.8779
# span_s,8.192000
# dt_mean_us,499.9999
# dt_sd_us,0.0078
# dt_min_us,499
# dt_max_us,500
# fs_hz_from_mean,2000.0002
# mean_code,1872.1069
# sd_code,0.9025
# min_code,1867
# max_code,1879
# mean_volts,1.508658
# sd_millivolts,0.7273
# adc,12bit_default_11dB_attenuation
# conv,linear_3.3_over_4095
# ----------------------------------------------------------
t_us,code
40,1874
539,1875
1039,1873
1539,1873
2039,1872
2539,1872
3039,1872
3539,1872
4039,1872
4539,1874
5039,1872
5539,1873
6039,1872
6539,1875
7039,1874
7539,1877
8039,1872
8539,1872
9039,1873
9539,1874
10039,1873
10539,1872
11039,1872
11539,1874
12039,1874
12539,1876
13039,1873
13539,1873
14039,1873
14539,1872
15039,1872
15539,1873
16039,1873
16539,1872
17039,1872
17539,1873
18039,1874
18539,1875
19039,1872
19539,1872
20039,1872
20539,1875
21039,1872
21539,1873
22039,1873
22539,1872
23039,1872
23539,1872
24039,1872
24539,1872
25039,1873
25539,1872
26039,1872
26539,1872
27039,1875
27539,1874
28039,1872
28539,1874
29039,1873
29539,1873
30039,1874
30539,1871
31039,1872
31539,1874
32039,1872
32539,1870
33039,1870
33539,1872
34039,1873
34539,1877
35039,1874
35539,1875
36039,1874
36539,1872
37039,1875
37539,1876
38039,1875
38539,1872
39039,1872
39539,1872
40039,1872
40539,1873
41039,1873
41539,1872
42039,1872
42539,1870
43039,1872
43539,1872
44039,1872
44539,1872
45039,1873
45539,1874
46039,1872
46539,1877
47039,1872
47539,1873
48039,1872
48539,1872
49039,1871
49539,1873
50039,1872
50539,1875
51039,1872
51539,1872
52039,1874
52539,1872
53039,1874
53539,1872
54039,1873
54539,1872
55039,1872
55539,1873
56039,1872
56539,1872
57039,1872
57539,1873
58039,1873
58539,1872
59039,1872
59539,1874
60039,1873
60539,1870
61039,1872
61539,1872
62039,1872
62539,1872
63039,1872
63539,1873
64039,1872
64539,1872
65039,1871
65539,1871
66039,1872
66539,1871
67039,1872
67539,1872
68039,1872
68539,1872
69039,1873
69539,1872
70039,1872
70539,1872
71039,1873
71539,1874
72039,1870
72539,1874
73039,1872
73539,1872
74039,1872
74539,1873
75039,1872
75539,1873
76039,1872
76539,1874
77039,1872
77539,1873
78039,1872
78539,1872
79039,1872
79539,1871
80039,1872
80539,1872
81039,1872
81539,1872
82039,1872
82539,1872
83039,1872
83539,1872
84039,1871
84539,1873
85039,1873
85539,1874
86039,1872
86539,1874
87039,1872
87539,1872
88039,1872
88539,1872
89039,1872
89539,1873
90039,1872
90539,1872
91039,1873
91539,1872
92039,1872
92539,1872
93039,1872
93539,1873
94039,1872
94539,1873
95039,1872
95539,1872
96039,1873
96539,1872
97039,1872
97539,1872
98039,1873
98539,1872
99039,1872
99539,1871
100039,1872
100539,1870
101039,1872
101539,1872
102039,1872
102539,1873
103039,1872
103539,1873
104039,1872
104539,1869
105039,1872
105539,1872
106039,1872
106539,1878
107039,1873
107539,1873
108039,1872
108539,1875
109039,1872
109539,1870
110039,1872
110539,1872
111039,1873
111539,1873
112039,1874
112539,1872
113039,1870
113539,1873
114039,1872
114539,1872
115039,1872
115539,1872
116039,1872
116539,1874
117039,1873
117539,1874
118039,1872
118539,1873
119039,1872
119539,1872
120039,1872
120539,1874
121039,1872
121539,1872
122039,1872
122539,1875
123039,1872
123539,1875
124039,1872
124539,1873
125039,1873
125539,1872
126039,1872
126539,1872
127039,1872
127539,1872
128039,1874
128539,1873
129039,1872
129539,1872
130039,1872
130539,1871
131039,1870
131539,1877
132039,1873
132539,1871
133039,1872
133539,1873
134039,1873
134539,1873
135039,1871
135539,1873
136039,1872
136539,1874
137039,1872
137539,1872
138039,1872
138539,1868
139039,1872
139539,1872
140039,1872
140539,1872
141039,1872
141539,1872
142039,1872
142539,1872
143039,1872
143539,1872
144039,1873
144539,1871
145039,1872
145539,1874
146039,1872
146539,1875
147039,1872
147539,1874
148039,1873
148539,1872
149039,1873
149539,1872
150039,1872
150539,1873
151039,1872
151539,1873
152039,1872
152539,1873
153039,1872
153539,1872
154039,1875
154539,1872
155039,1874
155539,1872
156039,1872
156539,1874
157039,1872
157539,1874
158039,1872
158539,1873
159039,1874
159539,1872
160039,1872
160539,1871
161039,1873
161539,1872
162039,1872
162539,1872
163039,1873
163539,1872
164039,1873
164539,1872
165039,1872
165539,1872
166039,1872
166539,1873
167039,1872
167539,1872
168039,1874
168539,1872
169039,1872
169539,1872
170039,1872
170539,1872
171039,1872
171539,1874
172039,1872
172539,1869
173039,1875
173539,1873
174039,1872
174539,1873
175039,1872
175539,1873
176039,1872
176539,1872
177039,1872
177539,1873
178039,1875
178539,1874
179039,1872
179539,1873
180039,1873
180539,1874
181039,1873
181539,1872
182039,1872
182539,1872
183039,1872
183539,1873
184039,1874
184539,1872
185039,1873
185539,1873
186039,1872
186539,1872
187039,1873
187539,1872
188039,1873
188539,1872
189039,1872
189539,1872
190039,1872
190539,1872
191039,1872
191539,1872
192039,1874
192539,1874
193039,1872
193539,1872
194039,1872
