# sketch,characterise_v2loop
# mode_number,1
# mode_name,1_deadline_ts_before
# label,B_b3
# ---- CHECK THE THREE LINES ABOVE BEFORE YOU KEEP THIS CAPTURE ----
# waiting 600 s for thermal settle - press any key to skip
# warm 0 s
# ----------------------------------------------------------
# n,16384
# fs_hz_window,1999.8779
# span_s,8.192000
# dt_mean_us,499.9999
# dt_sd_us,0.6652
# dt_min_us,499
# dt_max_us,501
# fs_hz_from_mean,2000.0002
# mean_code,1872.1016
# sd_code,0.9626
# min_code,1866
# max_code,1879
# mean_volts,1.508653
# sd_millivolts,0.7757
# adc,12bit_default_11dB_attenuation
# conv,linear_3.3_over_4095
# ----------------------------------------------------------
t_us,code
1,1874
500,1875
1001,1875
1500,1877
2000,1873
2500,1872
3000,1872
3500,1873
4000,1872
4500,1872
5001,1877
5500,1872
6000,1872
6500,1873
7001,1870
7500,1872
8001,1872
8500,1872
9001,1874
9500,1873
10001,1874
10501,1872
11000,1873
11501,1872
12000,1872
12500,1875
13000,1872
13500,1872
14001,1872
14500,1873
15000,1872
15501,1872
16000,1872
16501,1873
17000,1875
17500,1875
18001,1874
18500,1872
19000,1876
19500,1872
20000,1873
20500,1873
21000,1874
21500,1872
22000,1873
22500,1872
23000,1874
23500,1874
24000,1873
24500,1873
25000,1874
25500,1872
26001,1875
26500,1872
27001,1873
27500,1872
28000,1872
28500,1872
29000,1872
29500,1872
30000,1875
30500,1873
31001,1877
31500,1879
32000,1872
32500,1873
33000,1875
33500,1874
34001,1872
34500,1872
35000,1874
35500,1875
36000,1872
36500,1873
37001,1872
37500,1872
38000,1872
38500,1872
39000,1873
39500,1874
40000,1873
40500,1873
41000,1872
41500,1872
42000,1872
42501,1872
43000,1873
43501,1874
44000,1877
44500,1872
45000,1873
45500,1871
46001,1872
46500,1873
47001,1872
47500,1876
48000,1872
48500,1874
49000,1873
49500,1873
50001,1873
50500,1872
51001,1872
51500,1872
52001,1872
52500,1872
53000,1872
53500,1873
54001,1872
54500,1872
55000,1871
55500,1873
56000,1872
56501,1872
57000,1872
57500,1875
58000,1872
58500,1871
59000,1871
59500,1874
60000,1872
60500,1872
61000,1873
61500,1872
62001,1873
62500,1871
63000,1871
63500,1872
64001,1872
64500,1873
65000,1872
65500,1872
66000,1872
66500,1873
67000,1875
67500,1872
68000,1872
68500,1872
69000,1873
69500,1873
70001,1872
70500,1873
71000,1872
71500,1872
72000,1872
72500,1872
73001,1872
73501,1872
74000,1872
74500,1876
75001,1870
75500,1872
76000,1872
76500,1874
77000,1872
77500,1873
78000,1874
78500,1872
79000,1872
79501,1872
80000,1872
80500,1872
81001,1874
81501,1871
82000,1872
82500,1872
83001,1871
83500,1871
84000,1872
84501,1873
85000,1872
85500,1874
86000,1872
86500,1872
87000,1872
87500,1872
88000,1872
88500,1875
89000,1872
89500,1871
90001,1872
90500,1872
91001,1872
91500,1872
92000,1873
92500,1872
93000,1872
93500,1872
94001,1872
94500,1877
95001,1872
95500,1872
96000,1873
96500,1872
97000,1872
97500,1874
98000,1872
98501,1873
99000,1872
99500,1872
100000,1872
100500,1873
101000,1872
101500,1874
102000,1873
102500,1873
103001,1872
103500,1871
104000,1872
104500,1873
105000,1872
105501,1872
106000,1872
106501,1872
107000,1869
107501,1873
108000,1874
108500,1872
109000,1872
109501,1872
110000,1872
110500,1872
111000,1873
111500,1872
112001,1872
112500,1872
113001,1875
113500,1872
114000,1873
114501,1872
115000,1874
115500,1874
116000,1872
116500,1872
117000,1872
117500,1872
118000,1872
118500,1873
119000,1873
119500,1872
120000,1872
120501,1873
121000,1870
121501,1873
122000,1872
122500,1872
123001,1873
123500,1872
124001,1873
124501,1872
125000,1875
125501,1875
126000,1872
126500,1872
127000,1871
127500,1872
128000,1872
128500,1872
129000,1872
129501,1872
130000,1873
130500,1873
131001,1872
131500,1873
132000,1873
132500,1872
133000,1868
133500,1872
134000,1872
134501,1874
135000,1872
135500,1871
136001,1872
136500,1875
137000,1877
137500,1870
138001,1872
138500,1873
139000,1872
139501,1871
140000,1872
140501,1872
141000,1872
141500,1872
142000,1873
142500,1872
143001,1872
143500,1872
144001,1873
144500,1872
145000,1874
145500,1872
146001,1872
146500,1872
147000,1872
147500,1872
148000,1874
148501,1874
149000,1872
149501,1876
150000,1873
150500,1874
151001,1872
151500,1872
152001,1872
152500,1873
153001,1872
153500,1873
154000,1872
154500,1872
155000,1870
155500,1873
156001,1873
156500,1872
157000,1872
157500,1872
158000,1872
158500,1872
159001,1871
159500,1872
160000,1871
160500,1872
161001,1875
161501,1873
162000,1872
162500,1872
163000,1873
163500,1874
164001,1873
164500,1873
165000,1877
165500,1873
166000,1873
166500,1873
167000,1874
167500,1872
168001,1875
168500,1872
169000,1872
169500,1873
170001,1872
170500,1873
171000,1872
171500,1873
172000,1872
172500,1874
173000,1872
173500,1872
174001,1872
174500,1872
175000,1871
175501,1875
176000,1872
176501,1872
177000,1870
177501,1872
178000,1874
178501,1872
179000,1876
179501,1874
180000,1872
180501,1872
181000,1873
181501,1873
182000,1872
182500,1873
183001,1876
183500,1872
184000,1872
184500,1874
185001,1873
185500,1872
186001,1872
186500,1872
187000,1877
187501,1872
188000,1873
188500,1872
189000,1873
189500,1873
190000,1874
190501,1873
191000,1872
191501,1872
192000,1872
192500,1872
193000,1871
193500,1872
194001,1872
194500,1872
195001,1872
195500,1872
196000,1873
196500,1872
197001,1872
197501,1872
198000,1873
198500,1873
199001,1874
199500,1872
200001,1872
200500,1872
201000,1872
201500,1873
202000,1872
202500,1872
203001,1872
203500,1872
204000,1872
204500,1872
205000,1872
205500,1872
206001,1873
206500,1872
207001,1872
207500,1874
208000,1871
208500,1873
209001,1872
209500,1872
210000,1872
210500,1872
211001,1876
211500,1872
212001,1872
212500,1872
213001,1872
213500,1874
214000,1872
214500,1873
215001,1872
215500,1872
216000,1872
216500,1872
217000,1872
217500,1872
218000,1874
218501,1872
219000,1871
219500,1872
220001,1873
220500,1873
221000,1872
221500,1872
222001,1872
222500,1872
223000,1872
223500,1872
224000,1872
224500,1872
225001,1872
225500,1874
226001,1874
226501,1872
227000,1872
227500,1873
228001,1875
228500,1872
229000,1874
229500,1872
230000,1872
230500,1872
231000,1874
231500,1872
232001,1872
232500,1872
233000,1873
233500,1873
234001,1872
234500,1872
235000,1876
235500,1873
236000,1872
236500,1872
237001,1874
237500,1872
238001,1874
238500,1875
239001,1876
239500,1873
240001,1872
240500,1872
241000,1871
241500,1874
242001,1872
242500,1872
243001,1872
243500,1872
244000,1872
244500,1872
245000,1874
245500,1872
246001,1872
246500,1872
247000,1872
247500,1871
248000,1872
248500,1873
249001,1872
249500,1872
250001,1874
250500,1872
251001,1872
251500,1872
252000,1872
252500,1872
253001,1872
253500,1872
254001,1873
254500,1872
255000,1869
255500,1872
256000,1872
256500,1872
257001,1873
257500,1874
258001,1872
258500,1872
259000,1873
259500,1872
260000,1873
260500,1875
