# sketch,characterise_v2loop
# mode_number,2
# mode_name,2_freerun_ts_before
# label,C_b3
# ---- CHECK THE THREE LINES ABOVE BEFORE YOU KEEP THIS CAPTURE ----
# waiting 600 s for thermal settle - press any key to skip
# warm 0 s
# ----------------------------------------------------------
# n,16384
# fs_hz_window,1853.0617
# span_s,8.841044
# dt_mean_us,539.6144
# dt_sd_us,1.0073
# dt_min_us,539
# dt_max_us,545
# fs_hz_from_mean,1853.1751
# mean_code,1872.1941
# sd_code,0.9723
# min_code,1865
# max_code,1879
# mean_volts,1.508728
# sd_millivolts,0.7835
# adc,12bit_default_11dB_attenuation
# conv,linear_3.3_over_4095
# ----------------------------------------------------------
t_us,code
1,1872
542,1872
1081,1874
1625,1872
2164,1872
2703,1872
3242,1874
3781,1875
4320,1872
4860,1874
5399,1872
5939,1875
6478,1873
7018,1872
7558,1872
8098,1875
8637,1873
9177,1872
9716,1872
10257,1872
10796,1875
11335,1872
11874,1872
12415,1873
12955,1874
13494,1872
14034,1877
14574,1873
15113,1874
15652,1872
16192,1872
16731,1873
17270,1872
17809,1873
18349,1872
18889,1872
19428,1876
19967,1875
20507,1875
21047,1873
21586,1873
22126,1872
22665,1873
23206,1872
23745,1873
24285,1873
24824,1872
25363,1872
25902,1875
26442,1872
26981,1872
27520,1872
28059,1875
28603,1869
29143,1872
29682,1872
30221,1872
30760,1871
31299,1872
31838,1872
32377,1874
32916,1873
33458,1872
33997,1872
34538,1873
35078,1872
35621,1874
36160,1873
36700,1873
37240,1872
37779,1871
38320,1874
38859,1872
39399,1872
39938,1872
40478,1872
41017,1872
41557,1872
42097,1872
42636,1872
43176,1871
43715,1873
44255,1873
44794,1875
45333,1877
45872,1873
46411,1873
46950,1872
47490,1872
48030,1872
48570,1872
49109,1872
49648,1873
50187,1878
50727,1872
51267,1872
51806,1872
52346,1872
52885,1874
53424,1873
53963,1871
54502,1874
55041,1872
55581,1872
56120,1874
56660,1872
57200,1873
57739,1872
58278,1873
58817,1873
59358,1874
59897,1872
60436,1873
60976,1874
61515,1873
62055,1873
62598,1872
63138,1872
63677,1872
64217,1871
64756,1873
65295,1871
65834,1871
66374,1872
66913,1871
67456,1873
67995,1873
68534,1872
69073,1873
69617,1873
70157,1873
70696,1873
71235,1877
71774,1872
72313,1874
72852,1872
73391,1872
73930,1873
74471,1872
75010,1873
75551,1873
76091,1873
76634,1873
77174,1874
77713,1873
78252,1872
78791,1873
79330,1874
79870,1873
80410,1872
80949,1873
81489,1875
82028,1872
82568,1874
83108,1872
83647,1873
84186,1872
84726,1871
85266,1871
85805,1872
86344,1872
86883,1873
87422,1875
87961,1874
88501,1872
89041,1872
89581,1872
90120,1872
90660,1872
91199,1872
91738,1873
92277,1872
92817,1872
93357,1872
93896,1873
94435,1872
94974,1877
95513,1874
96052,1872
96591,1872
97131,1872
97670,1873
98209,1872
98748,1873
99288,1872
99828,1873
100368,1872
100907,1872
101448,1873
101987,1872
102526,1873
103065,1872
103609,1875
104149,1872
104688,1872
105227,1872
105766,1873
106306,1873
106845,1872
107384,1874
107923,1872
108463,1873
109003,1874
109542,1872
110082,1872
110625,1872
111164,1872
111703,1872
112242,1873
112782,1872
113322,1873
113861,1872
114401,1872
114940,1873
115482,1872
116021,1873
116561,1874
117100,1872
117640,1872
118179,1874
118718,1872
119257,1872
119797,1869
120337,1873
120876,1872
121416,1872
121956,1872
122495,1872
123035,1873
123574,1875
124113,1872
124652,1875
125191,1871
125730,1872
126270,1872
126809,1874
127348,1872
127887,1872
128426,1874
128965,1872
129504,1873
130043,1872
130583,1872
131123,1872
131662,1872
132201,1872
132740,1874
133279,1875
133818,1872
134357,1871
134896,1873
135436,1872
135975,1872
136514,1873
137053,1872
137597,1872
138137,1873
138676,1875
139215,1872
139755,1872
140294,1873
140833,1872
141372,1872
141911,1872
142451,1873
142990,1873
143530,1872
144069,1872
144612,1874
145151,1872
145690,1875
146229,1873
146768,1873
147307,1872
147846,1871
148387,1872
148926,1869
149466,1872
150005,1874
150545,1872
151084,1872
151627,1873
152167,1872
152707,1872
153247,1871
153786,1872
154326,1872
154865,1873
155404,1873
155945,1872
156488,1873
157028,1874
157568,1872
158107,1872
158647,1872
159187,1872
159726,1872
160266,1872
160805,1872
161344,1870
161884,1872
162424,1872
162963,1872
163503,1872
164042,1873
164582,1872
165122,1872
165661,1873
166201,1872
166740,1872
167279,1875
167818,1872
168358,1873
168897,1872
169436,1872
169976,1872
170515,1873
171054,1872
171598,1872
172137,1872
172676,1873
173216,1872
173756,1873
174295,1872
174835,1873
175375,1872
175914,1871
176457,1873
176996,1872
177536,1872
178075,1872
178619,1872
179159,1871
179698,1872
180238,1872
180777,1872
181316,1872
181855,1872
182394,1872
182933,1871
183474,1872
184013,1873
184552,1874
185091,1872
185634,1872
186174,1872
186713,1874
187253,1872
187792,1872
188332,1872
188871,1872
189410,1873
189949,1872
190489,1872
191028,1871
191569,1872
192109,1872
192648,1871
193187,1872
193727,1873
194267,1873
194806,1870
195346,1873
195885,1872
196424,1871
196963,1872
197503,1872
198042,1872
198581,1872
199120,1873
199660,1873
200199,1873
200738,1872
201278,1873
201817,1871
202356,1872
202895,1872
203435,1872
203974,1872
204514,1872
205054,1872
205597,1873
206137,1872
206676,1872
207216,1871
207755,1872
208295,1872
208834,1872
209374,1874
209913,1872
210456,1872
210995,1872
211535,1873
212075,1874
212618,1872
213158,1872
213697,1872
214238,1873
214777,1871
215316,1872
215855,1872
216394,1872
216933,1871
217474,1873
218014,1872
218553,1871
219097,1872
219636,1872
220176,1869
220715,1872
221254,1871
221794,1871
222334,1872
222873,1872
223413,1873
223952,1873
224491,1872
225030,1872
225569,1872
226109,1872
226648,1873
227187,1872
227726,1872
228266,1872
228806,1872
229346,1872
229885,1872
230424,1872
230963,1872
231502,1872
232042,1875
232582,1872
233122,1872
233661,1872
234201,1872
234740,1872
235279,1872
235818,1872
236357,1872
236897,1872
237436,1872
237975,1873
238514,1873
239054,1873
239597,1872
240137,1872
240676,1872
241215,1872
241755,1873
242294,1874
242833,1873
243373,1872
243913,1872
244456,1872
244996,1874
245535,1870
246075,1872
246618,1872
247158,1869
247697,1872
248236,1872
248776,1872
249315,1872
249855,1872
250395,1872
250934,1872
251475,1872
252014,1872
252553,1873
253097,1872
253636,1872
254175,1874
254714,1872
255253,1872
255792,1873
256331,1872
256871,1872
257410,1872
257949,1873
258489,1872
259028,1872
259567,1872
260107,1874
260646,1873
261185,1875
261724,1872
262265,1872
262804,1872
263343,1872
263883,1872
264423,1872
264962,1875
265501,1872
266041,1872
266580,1871
267119,1872
267659,1872
268199,1873
268738,1871
269278,1872
269817,1871
270357,1872
270896,1872
271435,1872
271974,1871
272514,1873
273053,1872
273597,1872
274137,1872
274676,1872
275215,1872
275755,1873
276294,1871
276833,1872
277372,1871
277911,1872
278451,1872
278990,1872
279530,1872
280069,1872
280613,1872
281152,1872
281691,1873
282231,1872
282770,1874
283309,1872
283849,1872
284389,1872
284928,1872
285468,1871
286008,1874
286548,1872
287087,1873
287631,1873
288171,1872
288710,1872
289249,1872
289788,1871
290328,1872
290867,1872
291406,1872
291947,1872
292488,1872
293028,1872
293567,1875
294106,1872
294646,1872
295186,1872
295725,1872
296265,1872
296804,1873
297343,1872
297882,1873
298422,1873
298961,1872
299500,1872
300039,1872
300578,1872
301118,1873
301657,1872
302197,1873
302736,1873
303275,1872
303814,1872
304353,1872
304892,1872
305431,1872
305970,1872
306510,1872
307049,1872
307588,1872
308127,1873
308667,1871
309206,1871
309745,1872
310286,1872
310825,1872
311364,1872
311904,1873
312444,1872
312983,1873
313523,1872
314062,1873
314605,1872
315146,1871
315685,1872
316225,1869
316764,1872
317303,1872
317842,1872
318381,1872
318920,1872
319460,1872
320000,1872
320540,1873
321079,1872
321623,1872
322163,1873
322702,1872
323241,1872
323781,1873
324321,1872
324860,1872
325400,1870
325939,1873
326479,1872
327020,1872
327559,1872
328099,1874
328638,1872
329178,1872
329717,1872
330257,1872
330796,1872
331336,1872
331875,1872
332414,1872
332954,1872
333494,1871
334034,1872
334574,1874
335113,1872
335653,1872
336193,1873
336732,1872
337272,1873
337811,1877
338350,1873
338890,1872
339429,1872
339968,1873
340507,1872
341047,1872
341587,1872
342126,1872
342666,1872
343206,1872
343745,1875
344285,1872
344824,1872
345363,1873
345903,1872
346444,1872
346983,1872
347523,1872
348062,1872
348606,1873
349145,1872
349684,1872
350223,1872
350763,1875
351302,1872
351842,1873
352382,1872
352921,1872
353462,1873
354001,1872
354540,1873
355079,1872
355622,1872
356161,1871
356701,1874
357240,1873
357780,1872
358320,1872
358859,1872
359399,1872
359938,1871
360478,1872
361017,1872
361557,1873
362097,1873
362636,1872
363176,1872
363715,1871
364254,1872
364794,1875
365334,1872
365873,1872
366412,1873
366951,1872
367490,1873
368029,1872
368568,1872
369108,1873
369647,1871
370187,1872
370727,1871
371267,1872
371806,1872
372345,1872
372885,1872
