# sketch,characterise_v2loop
# mode_number,3
# mode_name,3_freerun_ts_before_v2_arithmetic
# label,D_b3
# ---- CHECK THE THREE LINES ABOVE BEFORE YOU KEEP THIS CAPTURE ----
# waiting 600 s for thermal settle - press any key to skip
# warm 0 s
# measuring bias (Feather 2 DC midpoint), as V2 does
# bias_volts,1.508970
# ----------------------------------------------------------
# n,16384
# fs_hz_window,1815.6270
# span_s,9.023329
# dt_mean_us,550.7403
# dt_sd_us,1.2193
# dt_min_us,549
# dt_max_us,566
# fs_hz_from_mean,1815.7379
# mean_code,1872.2292
# sd_code,0.9553
# min_code,1863
# max_code,1879
# mean_volts,1.508756
# sd_millivolts,0.7698
# adc,12bit_default_11dB_attenuation
# conv,linear_3.3_over_4095
# crossings_pos,2949
# crossings_neg,2949
# sink,1421945341
# ----------------------------------------------------------
t_us,code
0,1875
558,1872
1124,1873
1676,1872
2227,1872
2778,1872
3328,1872
3877,1872
4427,1874
4978,1872
5529,1872
6079,1872
6629,1872
7179,1872
7730,1877
8281,1872
8831,1872
9381,1873
9933,1872
10483,1874
11034,1872
11584,1872
12138,1873
12690,1872
13241,1872
13791,1872
14341,1873
14892,1872
15443,1872
15994,1874
16544,1872
17095,1871
17645,1872
18195,1872
18746,1872
19296,1873
19847,1874
20397,1872
20948,1871
21499,1873
22050,1872
22600,1872
23154,1874
23706,1872
24257,1872
24807,1872
25357,1875
25909,1872
26459,1872
27011,1872
27561,1872
28112,1872
28662,1873
29213,1873
29763,1873
30313,1872
30865,1872
31415,1871
31964,1872
32515,1872
33066,1872
33616,1872
34171,1874
34721,1871
35272,1872
35822,1874
36373,1876
36923,1877
37473,1873
38024,1872
38575,1873
39129,1872
39679,1872
40229,1872
40779,1872
41329,1872
41880,1872
42430,1873
42982,1872
43532,1873
44083,1872
44635,1872
45185,1874
45737,1874
46287,1873
46836,1875
47386,1871
47937,1874
48488,1872
49040,1873
49590,1872
50145,1872
50695,1872
51245,1873
51797,1872
52347,1873
52899,1872
53449,1872
53999,1872
54549,1872
55100,1872
55651,1872
56201,1873
56752,1873
57302,1873
57853,1869
58403,1872
58953,1872
59504,1872
60054,1872
60605,1874
61159,1875
61710,1873
62260,1872
62811,1872
63361,1872
63912,1872
64462,1872
65012,1872
65563,1872
66112,1872
66663,1872
67213,1872
67764,1874
68315,1874
68864,1872
69416,1872
69965,1872
70516,1872
71065,1872
71616,1872
72169,1872
72719,1872
73269,1874
73820,1877
74370,1874
74921,1874
75471,1875
76022,1872
76574,1871
77127,1872
77678,1875
78228,1872
78779,1872
79329,1875
79880,1872
80431,1875
80985,1872
81537,1872
82087,1872
82637,1872
83187,1872
83738,1872
84288,1872
84839,1872
85389,1872
85939,1872
86488,1873
87040,1873
87590,1874
88144,1872
88695,1872
89245,1875
89796,1872
90348,1872
90897,1873
91448,1872
92000,1872
92549,1872
93100,1875
93651,1872
94202,1872
94752,1872
95302,1873
95854,1872
96404,1872
96955,1874
97505,1872
98057,1873
98608,1872
99163,1874
99714,1872
100266,1873
100817,1872
101368,1872
101917,1872
102467,1873
103021,1873
103570,1874
104125,1873
104676,1873
105226,1874
105775,1873
106325,1872
106876,1873
107427,1872
107979,1872
108530,1871
109080,1872
109631,1872
110181,1877
110732,1872
111282,1872
111833,1873
112384,1872
112935,1875
113485,1872
114036,1872
114586,1872
115141,1870
115691,1871
116241,1872
116790,1877
117341,1872
117892,1872
118442,1873
118993,1871
119544,1873
120095,1873
120644,1873
121194,1872
121746,1873
122296,1874
122847,1872
123398,1872
123948,1873
124498,1872
125050,1873
125600,1873
126154,1873
126705,1872
127255,1872
127806,1872
128356,1872
128906,1873
129457,1872
130009,1873
130559,1874
131109,1872
131660,1872
132210,1872
132760,1873
133311,1872
133862,1872
134412,1872
134962,1872
135512,1872
136063,1872
136612,1872
137167,1872
137717,1875
138268,1872
138819,1873
139370,1872
139920,1875
140471,1872
141022,1872
141572,1872
142128,1872
142678,1874
143228,1874
143779,1873
144329,1873
144879,1872
145431,1872
145984,1872
146535,1875
147085,1872
147636,1874
148188,1871
148739,1873
149289,1872
149840,1872
150390,1872
150940,1875
151491,1872
152043,1872
152592,1872
153147,1873
153698,1872
154248,1873
154800,1873
155350,1874
155900,1872
156450,1872
157001,1871
157551,1872
158101,1872
158652,1872
159202,1872
159752,1872
160302,1871
160852,1872
161402,1872
161951,1873
162502,1872
163053,1873
163604,1874
164158,1873
164708,1872
165259,1873
165811,1872
166362,1873
166912,1872
167463,1872
168014,1874
168565,1872
169116,1872
169666,1874
170217,1873
170767,1874
171317,1871
171869,1872
172419,1872
172970,1872
173519,1872
174070,1873
174624,1872
175175,1872
175725,1872
176275,1872
176826,1872
177376,1872
177926,1875
178476,1873
179027,1873
179577,1872
180133,1872
180683,1874
181234,1872
181785,1873
182336,1871
182886,1872
183436,1872
183987,1875
184538,1872
185090,1873
185640,1872
186191,1870
186741,1872
187291,1872
187841,1872
188391,1874
188943,1871
189494,1873
190045,1872
190595,1872
191149,1872
191699,1872
192249,1872
192799,1874
193350,1873
193901,1872
194451,1871
195001,1873
195552,1875
196102,1872
196653,1872
197203,1872
197753,1872
198303,1874
198855,1873
199405,1872
199956,1872
200507,1872
201057,1874
201608,1872
202163,1872
202713,1872
203263,1873
203815,1873
204365,1872
204915,1872
205465,1871
206016,1874
206568,1872
207119,1873
207669,1872
208220,1872
208770,1872
209320,1873
209872,1872
210423,1872
210973,1872
211524,1872
212074,1873
212626,1873
213176,1872
213727,1873
214278,1872
214829,1877
215380,1873
215930,1873
216483,1872
217034,1873
217584,1873
218138,1872
218690,1872
219240,1872
219789,1872
220339,1873
220890,1873
221440,1870
221992,1872
222542,1872
223093,1872
223643,1875
224194,1872
224745,1872
225295,1872
225846,1874
226396,1872
226948,1872
227498,1872
228049,1873
228599,1872
229154,1872
229705,1873
230256,1870
230806,1873
231357,1872
231908,1872
232458,1872
233009,1872
233559,1874
234111,1871
234662,1872
235212,1872
235761,1873
236312,1872
236863,1874
237414,1872
237965,1873
238516,1871
239068,1870
239617,1872
240171,1873
240722,1873
241272,1873
241822,1873
242372,1872
242923,1874
243475,1872
244026,1874
244576,1872
245132,1872
245681,1873
246232,1875
246782,1872
247334,1874
247885,1872
248435,1873
248987,1874
249537,1872
250088,1873
250640,1873
251190,1873
251740,1872
252291,1872
252842,1873
253392,1872
253942,1872
254492,1872
255042,1872
255592,1872
256147,1873
256698,1873
257248,1872
257799,1872
258349,1874
258901,1872
259451,1872
260002,1872
260551,1873
261103,1872
261653,1875
262204,1874
262754,1872
263306,1872
263855,1872
264405,1873
264956,1872
265508,1872
266058,1874
266609,1872
267164,1872
267713,1873
268264,1872
268816,1872
269366,1874
269917,1875
270467,1874
271020,1872
271571,1872
272126,1872
272677,1872
273227,1872
273777,1873
274328,1874
274877,1872
275428,1872
275980,1872
276529,1872
277079,1873
277631,1873
278181,1872
278732,1872
279282,1873
279833,1873
280383,1877
280934,1873
281484,1874
282034,1872
282586,1873
283141,1873
283691,1872
284241,1872
284792,1872
285342,1872
285893,1872
286443,1872
286994,1873
287544,1872
288095,1872
288645,1872
289195,1872
289745,1872
290295,1873
290845,1872
291396,1873
291948,1872
292498,1872
293048,1872
293598,1870
294152,1872
294703,1874
295254,1872
295804,1872
296354,1873
296906,1872
297457,1872
298007,1872
298557,1872
299107,1872
299658,1872
300208,1872
300758,1872
301308,1873
301858,1872
302409,1868
302959,1874
303510,1873
304060,1875
304610,1872
305165,1874
305716,1872
306267,1870
306818,1872
307367,1872
307917,1872
308467,1872
309021,1872
309570,1872
310125,1872
310675,1871
311225,1872
311775,1872
312325,1872
312875,1872
313425,1872
313977,1872
314526,1872
315076,1869
315626,1872
316176,1872
316727,1872
317277,1872
317827,1873
318378,1872
318930,1873
319480,1873
320030,1872
320582,1872
321136,1872
321686,1872
322236,1872
322786,1872
323336,1872
323887,1873
324437,1872
324989,1870
325538,1872
326089,1872
326639,1872
327189,1873
327740,1873
328290,1872
328841,1872
329391,1872
329942,1872
330491,1873
331042,1872
331593,1872
332147,1874
332698,1877
333248,1874
333799,1872
334349,1873
334901,1872
335452,1873
336002,1872
336554,1872
337104,1873
337655,1872
338206,1873
338756,1872
339307,1875
339859,1873
340409,1874
340959,1874
341508,1872
342059,1872
342609,1872
343163,1874
343714,1872
344264,1873
344815,1874
345365,1872
345916,1873
346467,1872
347020,1873
347571,1872
348126,1872
348676,1873
349227,1872
349779,1872
350329,1873
350880,1872
351430,1872
351984,1872
352535,1872
353085,1872
353635,1872
354185,1871
354736,1873
355287,1872
355838,1872
356388,1873
356938,1872
357490,1872
358040,1871
358591,1871
359145,1871
359696,1872
360246,1872
360796,1872
361346,1872
361896,1873
362447,1873
362998,1876
363549,1873
364098,1872
364649,1878
365200,1872
365752,1876
366302,1872
366852,1874
367403,1872
367955,1872
368504,1872
369054,1873
369605,1874
370159,1874
370709,1872
371260,1872
371811,1873
372362,1872
372913,1872
373463,1872
374013,1872
374563,1871
375113,1872
375663,1873
376214,1872
376766,1873
377316,1873
377867,1872
378417,1872
378968,1872
379518,1872
380068,1872
380618,1874
381173,1872
381723,1872
382273,1872
382823,1871
383374,1872
383923,1872
384474,1873
385025,1872
385575,1873
386131,1872
386681,1871
387231,1872
387782,1872
388332,1872
388882,1873
389433,1873
389986,1872
390537,1872
391087,1874
391638,1872
392189,1874
392741,1872
393291,1872
393841,1872
394391,1872
394942,1872
395491,1872
396041,1871
396591,1873
397146,1873
397696,1872
398246,1874
398796,1872
399347,1872
399898,1874
400449,1871
401000,1874
401550,1872
402101,1875
402652,1873
403202,1872
403754,1872
404304,1872
404854,1873
405405,1872
405956,1874
406507,1872
407058,1874
407609,1875
408163,1872
408713,1872
409263,1872
409814,1872
410364,1872
410913,1872
411463,1872
412016,1872
412566,1872
413117,1872
413667,1872
414218,1874
414768,1872
415319,1872
415869,1873
416420,1871
416971,1872
417521,1873
418072,1873
418624,1873
419174,1871
419725,1875
420276,1877
420827,1872
421377,1873
421928,1872
422478,1872
423029,1872
423579,1873
424134,1873
424685,1872
425235,1872
425786,1872
426336,1872
426887,1872
427437,1872
427989,1872
428540,1871
429090,1872
429640,1872
430190,1872
430740,1872
431290,1872
431840,1874
432391,1872
432942,1872
433493,1872
434043,1873
434593,1871
435149,1872
435699,1872
436249,1872
436800,1873
437350,1872
437902,1873
438453,1873
439003,1873
439553,1874
440104,1872
440655,1873
441206,1872
441756,1873
442307,1872
442859,1872
443409,1874
443961,1871
444511,1872
445061,1872
445611,1875
446166,1873
446716,1873
447266,1872
447818,1872
448368,1872
448917,1873
449469,1874
450021,1872
450571,1872
451126,1872
451676,1873
452227,1873
452778,1875
453328,1873
453877,1872
454428,1872
454979,1873
455530,1873
456080,1872
456631,1873
457182,1872
457733,1872
458283,1873
458834,1872
459385,1872
459936,1875
460486,1872
461038,1874
461589,1873
462143,1873
462693,1870
463244,1872
463795,1872
464345,1872
464895,1875
465446,1872
465998,1872
466548,1872
467099,1873
467650,1873
468200,1873
468750,1872
469301,1873
469852,1872
470404,1872
470954,1871
471504,1872
472054,1872
472604,1872
473158,1873
473710,1872
474261,1872
474810,1873
475361,1872
475913,1872
476463,1872
477014,1873
477565,1872
478116,1872
478666,1874
479217,1870
479768,1872
480318,1871
480868,1874
481419,1874
481970,1872
482521,1872
483071,1872
483624,1873
484174,1873
484725,1872
485276,1872
485826,1873
486377,1874
486928,1872
487479,1873
488030,1872
488580,1872
489134,1872
489685,1872
490235,1873
490786,1872
491336,1872
491887,1871
492437,1872
492987,1872
493537,1872
494088,1872
494638,1872
