# sketch,characterise_v2loop
# mode_number,0
# mode_name,0_sept_baseline_deadline_ts_after
# label,F_stim_baseline
# ---- CHECK THE THREE LINES ABOVE BEFORE YOU KEEP THIS CAPTURE ----
# waiting 600 s for thermal settle - press any key to skip
# warm 0 s
# ----------------------------------------------------------
# n,16384
# fs_hz_window,1999.8779
# span_s,8.192000
# dt_mean_us,499.9999
# dt_sd_us,0.0135
# dt_min_us,499
# dt_max_us,501
# fs_hz_from_mean,2000.0002
# mean_code,1870.5455
# sd_code,956.1444
# min_code,526
# max_code,3255
# mean_volts,1.507399
# sd_millivolts,770.5193
# adc,12bit_default_11dB_attenuation
# conv,linear_3.3_over_4095
# ----------------------------------------------------------
t_us,code
40,958
539,814
1039,691
1539,599
2039,555
2539,529
3039,534
3539,571
4039,642
4539,751
5039,874
5539,1047
6039,1226
6539,1415
7039,1618
7539,1818
8039,2011
8539,2217
9039,2413
9539,2603
10039,2766
10539,2923
11039,3054
11539,3163
12039,3219
12539,3255
13039,3250
13539,3199
14039,3120
14539,2992
15039,2854
15539,2685
16039,2518
16539,2320
17039,2113
17539,1915
18039,1715
18539,1515
19039,1315
19539,1131
20039,957
20539,815
21039,694
21539,597
22039,557
22539,528
23039,528
23539,576
24039,640
24539,747
25039,871
25539,1040
26039,1226
26539,1413
27039,1616
27539,1814
28039,2007
28539,2217
29039,2409
29539,2603
30039,2767
30539,2918
31039,3051
31539,3158
32039,3216
32539,3248
33039,3248
33539,3198
34039,3120
34539,2990
35039,2861
35539,2687
36039,2513
36539,2314
37039,2118
37539,1914
38039,1721
38539,1513
39039,1315
39539,1129
40039,958
40539,811
41039,690
41539,602
42039,558
42539,530
43039,528
43539,573
44039,641
44539,750
45039,871
45539,1043
46039,1221
46539,1411
47039,1615
47539,1819
48039,2007
48539,2213
49039,2413
49539,2602
50039,2770
50539,2916
51039,3051
51539,3162
52039,3218
52539,3251
53039,3250
53539,3199
54039,3119
54539,2992
55039,2858
55539,2684
56039,2513
56539,2314
57039,2118
57539,1916
58039,1719
58539,1513
59039,1317
59539,1131
60039,960
60539,815
61039,691
61539,599
62039,554
62539,530
63039,528
63539,576
64039,637
64539,750
65039,874
65539,1041
66039,1221
66539,1415
67039,1616
67539,1815
68039,2011
68539,2215
69039,2410
69539,2607
70039,2767
70539,2919
71039,3052
71539,3153
72039,3216
72539,3255
73039,3247
73539,3200
74039,3119
74539,2991
75039,2863
75539,2687
76039,2514
76539,2315
77039,2118
77539,1915
78039,1719
78539,1518
79039,1319
79539,1129
80039,955
80539,816
81039,693
81539,605
82039,557
82539,531
83039,531
83539,576
84039,640
84539,748
85039,874
85539,1044
86039,1219
86539,1419
87039,1616
87539,1822
88039,2011
88539,2217
89039,2411
89539,2601
90039,2768
90539,2920
91039,3054
91539,3163
92039,3221
92539,3250
93039,3248
93539,3197
94039,3120
94539,2992
95039,2855
95539,2678
96039,2519
96539,2310
97039,2122
97539,1915
98039,1722
98539,1515
99039,1315
99539,1127
100039,958
100539,811
101039,691
101539,604
102039,557
102539,529
103039,530
103539,574
104039,640
104539,749
105039,873
105539,1044
106039,1222
106539,1414
107039,1616
107539,1814
108039,2013
108539,2215
109039,2406
109539,2603
110039,2768
110539,2921
111039,3051
111539,3158
112039,3216
112539,3251
113039,3250
113539,3200
114039,3120
114539,2992
115039,2855
115539,2684
116039,2513
116539,2315
117039,2121
117539,1914
118039,1718
118539,1517
119039,1315
119539,1126
120039,958
120539,815
121039,694
121539,601
122039,554
122539,530
123039,528
123539,576
124039,640
124539,748
125039,871
125539,1045
126039,1225
126539,1413
127039,1616
127539,1821
128039,2013
128539,2210
129039,2409
129539,2602
130039,2768
130539,2922
131039,3051
131539,3158
132039,3217
132539,3254
133039,3248
133539,3199
134039,3120
134539,2992
135039,2857
135539,2679
136039,2514
136539,2315
137039,2116
137539,1913
138039,1718
138539,1518
139039,1317
139539,1129
140039,955
140539,815
141039,688
141539,595
142039,555
142539,529
143039,530
143539,572
144039,640
144539,750
145039,870
145539,1045
146039,1222
146539,1408
147039,1619
147539,1815
148039,2007
148539,2219
149039,2409
149539,2599
150039,2768
150539,2921
151039,3050
151539,3159
152039,3222
152539,3250
153039,3248
153539,3201
154039,3118
154539,2992
155039,2861
155539,2687
156039,2518
156539,2315
157039,2116
157539,1911
158039,1717
158539,1514
159039,1317
159539,1131
160039,957
160539,811
161039,694
161539,603
162039,556
162539,531
163039,529
163539,576
164039,639
164539,747
165039,869
165539,1041
166039,1221
166539,1413
167039,1616
167539,1811
168039,2010
168539,2213
169039,2411
