# sketch,characterise_v2loop
# mode_number,3
# mode_name,3_freerun_ts_before_v2_arithmetic
# label,G_stim_v2arith
# ---- CHECK THE THREE LINES ABOVE BEFORE YOU KEEP THIS CAPTURE ----
# waiting 600 s for thermal settle - press any key to skip
# warm 0 s
# measuring bias (Feather 2 DC midpoint), as V2 does
# bias_volts,1.526087
# ----------------------------------------------------------
# n,16384
# fs_hz_window,1816.4101
# span_s,9.019439
# dt_mean_us,550.5028
# dt_sd_us,1.1389
# dt_min_us,549
# dt_max_us,559
# fs_hz_from_mean,1816.5211
# mean_code,1877.2457
# sd_code,955.4383
# min_code,525
# max_code,3261
# mean_volts,1.512799
# sd_millivolts,769.9503
# adc,12bit_default_11dB_attenuation
# conv,linear_3.3_over_4095
# crossings_pos,451
# crossings_neg,451
# sink,2621441723
# ----------------------------------------------------------
t_us,code
0,2688
559,2515
1112,2311
1663,2123
2213,1915
2763,1723
3322,1516
3877,1255
4427,1002
4977,816
5528,689
6078,598
6627,554
7177,528
7728,531
8278,573
8829,641
9380,869
9930,1045
10481,1218
11031,1413
11581,1617
12132,1818
12681,2013
13233,2215
13783,2411
14333,2768
14887,2921
15437,3051
15987,3159
16537,3222
17087,3249
17637,3252
18187,3206
18739,3120
19290,2992
19840,2849
20390,2558
20940,2318
21491,2115
22041,1914
22591,1718
23141,1511
23692,1318
24243,1128
24792,959
25346,795
25896,623
26447,557
26997,530
27547,528
28097,569
28648,639
29197,747
29747,877
30298,1047
30850,1413
31401,1616
31951,1817
32501,2013
33052,2218
33602,2411
34152,2603
34702,2768
35252,2921
35802,3047
36353,3217
36903,3261
37454,3252
38004,3195
38555,3120
39105,2991
39656,2859
40206,2686
40756,2514
41307,2320
41861,2066
42412,1781
42963,1520
43513,1312
44063,1127
44613,954
45163,809
45715,691
46264,599
46814,557
47365,529
47914,571
48464,640
49014,745
49565,875
50115,1042
50666,1219
51216,1414
51767,1616
52316,1815
52871,2215
53421,2412
53971,2601
54522,2768
55072,2921
55623,3050
56173,3157
56723,3218
57273,3250
57823,3248
58373,3119
58923,2992
59474,2861
60023,2681
60574,2513
61124,2315
61675,2115
62224,1915
62775,1720
63325,1515
63879,1251
64429,998
64979,811
65529,689
66080,597
66630,557
67180,529
67731,530
68281,575
68831,635
69381,870
69931,1041
70481,1219
71031,1411
71582,1616
72132,1817
72683,2010
73233,2213
73784,2409
74333,2768
74887,2921
75437,3056
75987,3161
76537,3218
77087,3249
77637,3255
78187,3201
78738,3120
79289,2992
79840,2847
80390,2559
80940,2314
81490,2119
82041,1911
82590,1717
83141,1515
83691,1321
84242,1128
84792,959
85346,796
85896,622
86447,553
86997,529
87547,528
88096,573
88646,638
89197,750
89747,872
90297,1048
90850,1418
91400,1618
91950,1814
92501,2011
93052,2217
93603,2411
94153,2597
94707,2768
95257,2919
95808,3047
96359,3223
96909,3251
97459,3250
98009,3200
98558,3121
99109,2992
99659,2855
100209,2686
100759,2516
101309,2317
101864,2065
102414,1781
102964,1515
103515,1312
104065,1132
104616,953
105166,811
105717,691
106267,597
106817,558
107367,529
107917,573
108468,636
109018,749
109569,873
110119,1043
110670,1222
111220,1413
111770,1616
112320,1815
112874,2215
113425,2411
113975,2605
114526,2768
115076,2919
115626,3051
116177,3154
116727,3221
117278,3248
117828,3248
118377,3119
118927,2992
119477,2858
120027,2683
120578,2512
121128,2316
121678,2118
122228,1913
122779,1714
123329,1509
123884,1238
124434,990
124984,813
125534,689
126085,599
126634,556
127185,531
127735,530
128285,571
128835,635
129385,871
129936,1043
130486,1227
131037,1411
131587,1616
132137,1819
132687,2011
133238,2215
133788,2407
134339,2770
134892,2922
135442,3050
135992,3157
136542,3219
137092,3250
137643,3249
138193,3199
138744,3118
139294,2992
139849,2822
140400,2538
140950,2315
141501,2122
142051,1916
142602,1718
143153,1511
143708,1314
144258,1123
144808,957
145359,784
145909,604
146459,555
147009,528
147560,528
148110,576
148660,635
149210,751
149761,874
150312,1046
150866,1411
151416,1616
151966,1814
152516,2011
153067,2215
153617,2414
154167,2599
154717,2768
155268,2919
155819,3052
156369,3221
156919,3251
157470,3248
158020,3200
158570,3120
159120,2992
159671,2862
160220,2683
160770,2514
161320,2316
161874,2038
162425,1764
162976,1514
163527,1321
164077,1127
164626,954
165176,813
165727,693
166276,599
166826,559
167376,533
167926,576
168476,636
169026,745
169577,868
170127,1043
170678,1221
171228,1412
171779,1616
172328,1815
172884,2219
173435,2406
173985,2601
174534,2768
175084,2923
175635,3047
176184,3159
176736,3217
177286,3248
177837,3248
178387,3120
178937,2992
179488,2862
180038,2684
180589,2513
181139,2314
181689,2115
182239,1911
182790,1717
183340,1499
183893,1228
184443,976
184993,812
185543,688
186093,599
186644,557
187194,531
187745,534
188294,574
188849,746
189400,866
189950,1046
190501,1222
191051,1414
191601,1616
192151,1819
192703,2006
193253,2214
193803,2407
194353,2768
194903,2923
195454,3056
196004,3164
196555,3219
197105,3249
197656,3248
198206,3197
198756,3119
199306,2993
199860,2797
200410,2518
200960,2314
201510,2117
202060,1917
202610,1718
203161,1507
203712,1321
204262,1126
204812,960
205362,781
205912,602
206462,557
207012,530
207562,528
208112,572
208663,638
209212,745
209762,873
210312,1043
210866,1413
211416,1616
211966,1817
212516,2015
213067,2215
213617,2411
214167,2601
214719,2768
215269,2922
215820,3051
216369,3222
216919,3253
217469,3254
218019,3202
218569,3120
219119,2991
219670,2859
220220,2683
220770,2517
221320,2310
221874,2042
222425,1761
222976,1517
223525,1314
224075,1127
224625,958
225175,810
225727,691
226277,602
226828,557
227379,528
227929,573
228478,634
229028,743
229578,873
230128,1042
230678,1223
231228,1412
231779,1615
232328,1818
232884,2219
233435,2412
233985,2603
234535,2768
235085,2919
235636,3050
236186,3162
236737,3221
237287,3252
237837,3243
238387,3120
238937,2993
239488,2858
240038,2683
240589,2514
241139,2317
241689,2122
242239,1913
242789,1718
243340,1503
243893,1232
244443,979
244993,813
245543,692
246093,602
246643,557
247193,528
247744,531
248295,576
248850,747
249400,868
249950,1041
250501,1223
251051,1414
251601,1617
252150,1815
252701,2010
253252,2214
253802,2410
254353,2771
254903,2919
255454,3055
256004,3162
256555,3221
257105,3250
257655,3248
258205,3201
258756,3119
259306,2994
259860,2799
260410,2516
260961,2315
261510,2118
262060,1910
262611,1718
263161,1511
263712,1313
264261,1131
264812,958
265361,781
265911,606
266461,553
