# sketch,characterise_v2loop
# mode_number,0
# mode_name,0_sept_baseline_deadline_ts_after
# label,A1_sept_baseline
# ---- CHECK THE THREE LINES ABOVE BEFORE YOU KEEP THIS CAPTURE ----
# waiting 600 s for thermal settle - press any key to skip
# warm 0 s
# warm 30 s
# warm 60 s
# warm 90 s
# warm 120 s
# warm 150 s
# warm 180 s
# warm 210 s
# warm 240 s
# warm 270 s
# warm 300 s
# warm 330 s
# warm 360 s
# warm 390 s
# warm 420 s
# warm 450 s
# warm 480 s
# warm 510 s
# warm 540 s
# warm 570 s
# ----------------------------------------------------------
# n,16384
# fs_hz_window,1999.8779
# span_s,8.192000
# dt_mean_us,499.9999
# dt_sd_us,0.0078
# dt_min_us,499
# dt_max_us,500
# fs_hz_from_mean,2000.0002
# mean_code,1872.2123
# sd_code,0.8771
# min_code,1866
# max_code,1878
# mean_volts,1.508742
# sd_millivolts,0.7068
# adc,12bit_default_11dB_attenuation
# conv,linear_3.3_over_4095
# ----------------------------------------------------------
t_us,code
40,1872
539,1872
1039,1872
1539,1872
2039,1872
2539,1872
3039,1872
3539,1873
4039,1873
4539,1872
5039,1872
5539,1875
6039,1872
6539,1875
7039,1874
7539,1872
8039,1872
8539,1873
9039,1872
9539,1877
10039,1873
10539,1872
11039,1872
11539,1873
12039,1872
12539,1872
13039,1872
13539,1872
14039,1873
14539,1874
15039,1872
15539,1872
16039,1872
16539,1875
17039,1872
17539,1872
18039,1874
18539,1872
19039,1873
19539,1873
20039,1872
20539,1872
21039,1873
21539,1871
22039,1873
22539,1872
23039,1875
23539,1872
24039,1873
24539,1872
25039,1872
25539,1873
26039,1872
26539,1872
27039,1871
27539,1872
28039,1872
28539,1872
29039,1872
29539,1872
30039,1872
30539,1873
31039,1872
31539,1872
32039,1872
32539,1872
33039,1873
33539,1872
34039,1875
34539,1872
35039,1872
35539,1872
36039,1873
36539,1872
37039,1872
37539,1872
38039,1872
38539,1872
39039,1872
39539,1873
40039,1872
40539,1872
41039,1872
41539,1872
42039,1872
42539,1872
43039,1872
43539,1873
44039,1872
44539,1872
45039,1872
45539,1872
46039,1874
46539,1872
47039,1872
47539,1872
48039,1872
48539,1872
49039,1875
49539,1872
50039,1872
50539,1872
51039,1871
51539,1875
52039,1872
52539,1872
53039,1872
53539,1872
54039,1874
54539,1872
55039,1873
55539,1872
56039,1872
56539,1872
57039,1873
57539,1874
58039,1872
58539,1872
59039,1872
59539,1872
60039,1872
60539,1872
61039,1872
61539,1873
62039,1872
62539,1874
63039,1874
63539,1872
64039,1873
64539,1872
65039,1872
65539,1874
66039,1873
66539,1872
67039,1872
67539,1874
68039,1872
68539,1872
69039,1872
69539,1874
70039,1874
70539,1873
71039,1872
71539,1872
72039,1872
72539,1872
73039,1872
73539,1873
74039,1872
74539,1872
75039,1874
75539,1872
76039,1872
76539,1872
77039,1872
77539,1872
78039,1872
78539,1872
79039,1874
79539,1874
80039,1872
80539,1872
81039,1874
81539,1872
82039,1873
82539,1872
83039,1876
83539,1873
84039,1873
84539,1872
85039,1872
85539,1875
86039,1873
86539,1872
87039,1873
87539,1873
88039,1872
88539,1872
89039,1872
89539,1872
90039,1874
90539,1873
91039,1872
91539,1872
92039,1875
92539,1874
93039,1872
93539,1872
94039,1872
94539,1874
95039,1872
95539,1872
96039,1874
96539,1873
97039,1872
97539,1875
98039,1872
98539,1874
99039,1872
99539,1872
