# sketch,characterise_v2loop
# mode_number,0
# mode_name,0_sept_baseline_deadline_ts_after
# label,A1_sept_baseline
# ---- CHECK THE THREE LINES ABOVE BEFORE YOU KEEP THIS CAPTURE ----
# waiting 600 s for thermal settle - press any key to skip
# warm 0 s
# warm 30 s
# warm 60 s
# warm 90 s
# warm 120 s
# warm 150 s
# warm 180 s
# warm 210 s
# warm 240 s
# warm 270 s
# warm 300 s
# warm 330 s
# warm 360 s
# warm 390 s
# warm 420 s
# warm 450 s
# warm 480 s
# warm 510 s
# warm 540 s
# warm 570 s
# warm 600 s
# ----------------------------------------------------------
# n,16384
# fs_hz_window,1999.8779
# span_s,8.192000
# dt_mean_us,500.0002
# dt_sd_us,3.9999
# dt_min_us,496
# dt_max_us,504
# fs_hz_from_mean,1999.9993
# mean_code,1873.3261
# sd_code,1.3834
# min_code,1869
# max_code,1882
# mean_volts,1.509640
# sd_millivolts,1.1148
# adc,12bit_default_11dB_attenuation
# conv,linear_3.3_over_4095
# ----------------------------------------------------------
t_us,code
40,1875
543,1874
1039,1877
1543,1874
2039,1874
2543,1874
3039,1874
3543,1877
4039,1873
4543,1872
5039,1875
5543,1874
6039,1877
6543,1875
7039,1874
7543,1873
8039,1873
8543,1872
9039,1872
9543,1873
10039,1875
10543,1874
11039,1875
11543,1875
12039,1873
12543,1876
13039,1872
13543,1873
14039,1875
14543,1874
15039,1872
15543,1873
16039,1875
16543,1873
17039,1877
17543,1874
18039,1872
18543,1872
19039,1872
19543,1873
20039,1873
20543,1873
21039,1875
21543,1874
22039,1877
22543,1873
23039,1873
23543,1873
24039,1873
24543,1874
25039,1875
25543,1874
26039,1874
26543,1873
27039,1873
27543,1872
28039,1872
28543,1872
29039,1875
29543,1874
30039,1872
30543,1875
31039,1872
31543,1872
32039,1874
32543,1873
33039,1874
33543,1875
34039,1875
34543,1873
35039,1872
35543,1872
36039,1872
36543,1872
37039,1872
37543,1872
38039,1874
38543,1877
39039,1877
39543,1877
40039,1875
40543,1873
41039,1872
41543,1872
42039,1873
42543,1873
43039,1876
43543,1873
44039,1872
44543,1873
45039,1877
45543,1876
46039,1875
46543,1876
47039,1872
47543,1874
48039,1873
48543,1872
49039,1872
49543,1872
50039,1872
50543,1874
51039,1875
51543,1873
52039,1875
52543,1875
53039,1873
53543,1875
54039,1874
54543,1873
55039,1874
55543,1875
56039,1874
56543,1875
57039,1875
57543,1875
58039,1874
58543,1874
59039,1877
59543,1875
60039,1874
60543,1873
61039,1872
61543,1875
62039,1875
62543,1874
63039,1875
63543,1873
64039,1874
64543,1874
65039,1875
65543,1873
66039,1872
66543,1873
67039,1873
67543,1875
68039,1872
68543,1872
69039,1875
69543,1872
70039,1872
70543,1872
71039,1874
71543,1874
72039,1874
72543,1873
73039,1872
73543,1872
74039,1872
74543,1873
75039,1872
75543,1873
76039,1872
76543,1870
77039,1875
77543,1873
78039,1873
78543,1872
79039,1872
79543,1874
80039,1875
80543,1873
81039,1874
81543,1873
82039,1873
82543,1872
83039,1872
83543,1873
84039,1875
84543,1870
85039,1872
85543,1872
86039,1872
86543,1872
87039,1873
87543,1874
88039,1875
88543,1875
89039,1873
89543,1875
90039,1873
90543,1874
91039,1876
91543,1875
92039,1873
92543,1873
93039,1878
93543,1874
94039,1873
94543,1873
95039,1875
95543,1873
96039,1874
96543,1873
97039,1875
97543,1874
98039,1874
98543,1872
99039,1878
99543,1874
100039,1872
100543,1877
101039,1874
101543,1872
102039,1874
102543,1873
103039,1872
103543,1873
104039,1874
104543,1872
105039,1873
105543,1873
106039,1873
106543,1875
107039,1873
107543,1872
108039,1872
108543,1875
109039,1875
109543,1873
110039,1874
110543,1877
111039,1872
111543,1872
112039,1873
112543,1873
113039,1874
113543,1874
114039,1872
114543,1872
115039,1872
115543,1873
116039,1873
116543,1873
117039,1875
117543,1873
118039,1874
118543,1872
119039,1876
119543,1875
120039,1875
120543,1877
121039,1874
121543,1873
122039,1872
122543,1876
123039,1873
123543,1875
124039,1875
124543,1872
125039,1874
125543,1874
126039,1873
126543,1872
127039,1872
127543,1872
128039,1873
128543,1873
129039,1877
129543,1875
130039,1874
130543,1875
131039,1873
131543,1873
132039,1874
132543,1873
133039,1873
133543,1874
134039,1872
134543,1874
135039,1875
135543,1873
136039,1873
136543,1872
137039,1875
137543,1874
138039,1872
138543,1874
139039,1875
139543,1872
140039,1875
140543,1873
141039,1874
141543,1875
142039,1872
142543,1873
143039,1876
143543,1872
144039,1875
144543,1875
145039,1872
145543,1873
146039,1874
146543,1873
147039,1873
147543,1873
148039,1878
148543,1873
149039,1876
149543,1873
150039,1873
150543,1874
151039,1879
151543,1872
152039,1872
152543,1873
153039,1875
153543,1878
154039,1875
154543,1872
155039,1872
155543,1875
156039,1873
156543,1872
157039,1873
157543,1873
158039,1872
158543,1872
159039,1872
159543,1872
160039,1872
160543,1875
161039,1872
161543,1872
162039,1873
162543,1873
163039,1872
163543,1876
164039,1874
164543,1874
165039,1874
165543,1875
166039,1875
166543,1873
167039,1875
167543,1876
168039,1873
168543,1874
169039,1875
169543,1874
170039,1874
170543,1873
171039,1873
171543,1873
172039,1875
172543,1873
173039,1877
173543,1875
174039,1873
174543,1879
175039,1873
175543,1875
176039,1877
176543,1877
177039,1873
177543,1873
178039,1874
178543,1875
179039,1874
179543,1875
180039,1872
180543,1873
181039,1872
181543,1873
182039,1873
182543,1874
183039,1872
183543,1873
184039,1873
184543,1875
185039,1873
185543,1872
186039,1877
186543,1872
187039,1873
187543,1875
188039,1876
188543,1873
189039,1874
189543,1875
190039,1873
190543,1873
191039,1872
191543,1872
192039,1872
192543,1874
193039,1876
193543,1872
194039,1875
194543,1873
195039,1873
195543,1875
196039,1872
196543,1872
197039,1872
197543,1875
198039,1873
198543,1873
199039,1874
199543,1873
200039,1878
200543,1874
201039,1873
201543,1872
202039,1875
202543,1873
203039,1872
203543,1877
204039,1874
204543,1875
205039,1874
205543,1873
206039,1872
206543,1872
207039,1873
207543,1874
208039,1872
208543,1875
209039,1874
209543,1875
210039,1872
210543,1875
211039,1872
211543,1875
212039,1872
212543,1872
213039,1872
213543,1873
214039,1873
214543,1874
215039,1872
215543,1875
216039,1873
216543,1873
217039,1872
217543,1872
218039,1873
218543,1874
219039,1875
219543,1873
220039,1874
220543,1876
221039,1873
221543,1874
222039,1872
222543,1875
223039,1873
223543,1873
224039,1872
224543,1874
225039,1872
225543,1874
226039,1874
226543,1872
227039,1875
227543,1879
228039,1873
228543,1876
229039,1875
229543,1872
230039,1875
230543,1874
231039,1874
231543,1873
232039,1872
232543,1875
233039,1872
233543,1872
234039,1877
234543,1872
235039,1873
235543,1872
236039,1872
236543,1873
237039,1875
237543,1872
238039,1873
238543,1872
239039,1872
239543,1874
240039,1873
240543,1872
241039,1874
241543,1875
242039,1873
242543,1871
243039,1872
243543,1874
244039,1873
244543,1872
245039,1872
245543,1873
246039,1872
246543,1873
247039,1872
247543,1873
248039,1872
248543,1873
249039,1874
249543,1877
250039,1874
250543,1876
251039,1873
251543,1872
252039,1872
252543,1873
253039,1874
253543,1875
254039,1872
254543,1876
255039,1873
255543,1872
256039,1873
256543,1871
257039,1872
257543,1872
258039,1873
258543,1874
259039,1872
259543,1872
260039,1873
260543,1872
261039,1874
261543,1874
262039,1872
262543,1872
263039,1874
263543,1872
264039,1872
264543,1875
265039,1874
265543,1872
266039,1875
266543,1872
267039,1872
267543,1877
268039,1872
268543,1872
269039,1872
269543,1874
270039,1875
270543,1872
271039,1874
271543,1872
272039,1873
272543,1872
273039,1874
273543,1873
274039,1873
274543,1872
275039,1874
275543,1872
276039,1874
276543,1872
277039,1872
277543,1872
278039,1872
278543,1873
279039,1872
279543,1872
280039,1874
280543,1871
281039,1872
281543,1873
282039,1873
282543,1873
283039,1874
283543,1874
284039,1875
284543,1872
285039,1872
285543,1872
286039,1872
286543,1873
287039,1873
287543,1873
288039,1873
288543,1872
289039,1873
289543,1872
290039,1874
290543,1874
291039,1873
291543,1874
292039,1874
292543,1872
293039,1874
293543,1874
294039,1875
294543,1872
295039,1874
295543,1876
296039,1874
296543,1872
297039,1873
297543,1874
298039,1873
298543,1872
299039,1875
299543,1873
300039,1874
300543,1873
301039,1872
301543,1874
302039,1872
302543,1872
303039,1872
303543,1873
304039,1872
304543,1873
305039,1873
305543,1872
306039,1876
306543,1875
307039,1873
307543,1873
308039,1872
308543,1872
309039,1874
309543,1874
310039,1875
310543,1873
311039,1875
311543,1876
312039,1873
312543,1872
313039,1872
313543,1877
314039,1873
314543,1873
315039,1872
315543,1872
316039,1872
316543,1872
317039,1877
317543,1872
318039,1874
318543,1873
319039,1873
319543,1874
320039,1875
320543,1875
321039,1877
321543,1876
322039,1873
322543,1872
323039,1872
323543,1877
324039,1874
324543,1872
325039,1873
325543,1872
326039,1872
326543,1873
327039,1872
327543,1875
328039,1872
328543,1873
329039,1872
329543,1872
330039,1873
330543,1873
331039,1872
331543,1875
332039,1873
332543,1873
333039,1873
333543,1872
334039,1872
334543,1872
335039,1873
335543,1872
336039,1873
336543,1872
337039,1873
337543,1872
338039,1872
338543,1873
339039,1872
339543,1873
340039,1873
340543,1872
341039,1873
341543,1872
342039,1875
342543,1875
343039,1873
343543,1872
344039,1873
344543,1872
345039,1872
345543,1875
346039,1872
346543,1872
347039,1878
347543,1872
348039,1873
348543,1875
349039,1874
349543,1878
350039,1874
350543,1872
351039,1873
351543,1873
352039,1872
352543,1873
353039,1872
353543,1873
354039,1872
354543,1874
355039,1871
355543,1872
356039,1874
356543,1873
357039,1874
357543,1875
358039,1873
358543,1874
359039,1873
359543,1873
360039,1873
360543,1875
361039,1873
361543,1877
362039,1876
362543,1876
363039,1875
363543,1875
364039,1873
364543,1873
365039,1872
365543,1874
366039,1874
366543,1875
367039,1874
367543,1873
368039,1873
368543,1872
369039,1874
369543,1873
370039,1872
370543,1872
371039,1874
371543,1876
372039,1872
