# sketch,characterise_v2loop
# mode_number,0
# mode_name,0_sept_baseline_deadline_ts_after
# label,A1_sept_baseline
# ---- CHECK THE THREE LINES ABOVE BEFORE YOU KEEP THIS CAPTURE ----
# waiting 600 s for thermal settle - press any key to skip
# warm 0 s
# ----------------------------------------------------------
# n,16384
# fs_hz_window,1999.8779
# span_s,8.192000
# dt_mean_us,499.9999
# dt_sd_us,0.0078
# dt_min_us,499
# dt_max_us,500
# fs_hz_from_mean,2000.0002
# mean_code,1872.2975
# sd_code,0.9324
# min_code,1865
# max_code,1879
# mean_volts,1.508811
# sd_millivolts,0.7514
# adc,12bit_default_11dB_attenuation
# conv,linear_3.3_over_4095
# ----------------------------------------------------------
t_us,code
40,1872
539,1876
1039,1873
1539,1873
2039,1875
2539,1878
3039,1873
3539,1873
4039,1874
4539,1875
5039,1872
5539,1872
6039,1872
6539,1873
7039,1873
7539,1871
8039,1872
8539,1873
9039,1872
9539,1872
10039,1874
10539,1873
11039,1872
11539,1874
12039,1874
12539,1873
13039,1872
13539,1872
14039,1873
14539,1875
15039,1873
15539,1873
16039,1875
16539,1872
17039,1872
17539,1873
18039,1875
18539,1873
19039,1872
19539,1873
20039,1879
20539,1875
21039,1873
21539,1873
22039,1872
22539,1873
23039,1872
23539,1872
24039,1872
24539,1872
25039,1873
25539,1875
26039,1872
26539,1872
27039,1872
27539,1873
28039,1874
28539,1872
29039,1874
29539,1873
30039,1872
30539,1873
31039,1874
31539,1874
32039,1873
32539,1872
33039,1873
33539,1873
34039,1874
34539,1873
35039,1873
35539,1872
36039,1872
36539,1872
37039,1874
37539,1873
38039,1872
38539,1873
39039,1872
39539,1872
40039,1872
40539,1875
41039,1872
41539,1872
42039,1873
42539,1875
43039,1873
43539,1872
44039,1872
44539,1872
45039,1872
45539,1872
46039,1872
46539,1872
47039,1872
47539,1872
48039,1875
48539,1872
49039,1873
49539,1872
50039,1872
50539,1872
51039,1872
51539,1872
52039,1873
52539,1872
53039,1873
53539,1874
54039,1877
54539,1873
55039,1875
55539,1872
56039,1873
56539,1872
57039,1872
57539,1872
58039,1872
58539,1873
59039,1872
59539,1873
60039,1872
60539,1872
61039,1872
61539,1874
62039,1873
62539,1872
63039,1873
63539,1873
64039,1872
64539,1874
65039,1873
65539,1872
66039,1872
66539,1872
67039,1872
67539,1873
68039,1873
68539,1872
69039,1872
69539,1873
70039,1873
70539,1872
71039,1874
71539,1872
72039,1872
72539,1877
73039,1875
73539,1873
74039,1873
74539,1875
75039,1872
75539,1875
76039,1872
76539,1872
77039,1873
77539,1875
78039,1873
78539,1872
79039,1874
79539,1872
80039,1873
80539,1872
81039,1872
81539,1873
82039,1872
82539,1872
83039,1872
83539,1872
84039,1872
84539,1872
85039,1872
85539,1872
86039,1872
86539,1872
87039,1873
87539,1874
88039,1872
88539,1873
89039,1875
89539,1872
90039,1872
90539,1875
91039,1874
91539,1874
92039,1873
92539,1873
93039,1873
93539,1874
94039,1875
94539,1873
95039,1874
95539,1873
96039,1872
96539,1872
97039,1873
97539,1873
98039,1874
98539,1875
99039,1872
99539,1872
100039,1873
100539,1875
101039,1874
101539,1873
102039,1871
102539,1872
103039,1874
103539,1874
104039,1872
104539,1872
105039,1873
105539,1872
106039,1874
106539,1872
107039,1873
107539,1872
108039,1872
108539,1872
109039,1874
109539,1872
110039,1874
110539,1872
111039,1873
111539,1873
112039,1872
112539,1872
113039,1872
113539,1872
114039,1872
114539,1872
115039,1871
115539,1873
116039,1872
116539,1873
117039,1872
117539,1872
118039,1874
118539,1872
119039,1872
119539,1873
120039,1872
120539,1872
121039,1872
121539,1873
122039,1876
122539,1872
123039,1874
123539,1872
124039,1874
124539,1874
125039,1873
125539,1873
126039,1872
126539,1873
127039,1878
127539,1872
128039,1875
128539,1872
129039,1872
129539,1872
130039,1875
130539,1873
