replay_idx,f_target_hz,f_v1,f_v2,f_hybrid,rocof_hz_s,mode
0,50.045,50.0516,50.0075,50.0075,0.07500000000000284,0
1,50.042,50.0531,49.995,49.995,-0.12500000000002842,0
2,50.04,50.0586,49.9975,49.9975,0.025000000000048317,0
3,50.038,50.0566,49.9975,49.9975,0.0,0
4,50.035,50.0576,49.9925,49.9925,-0.05000000000002558,0
5,50.033,49.7839,50.005,50.005,0.12500000000002842,0
6,50.032,50.0591,49.9975,49.9975,-0.07500000000000284,0
7,50.035,50.0576,49.995,49.995,-0.025000000000048317,0
8,50.034,50.0596,49.9975,49.9975,0.025000000000048317,0
9,50.035,50.0531,50.005,50.005,0.07500000000000284,0
10,50.034,49.7894,50.0025,50.0025,-0.025000000000048317,0
11,50.035,50.0591,50.0,50.0,-0.024999999999977263,0
12,50.036,50.0556,49.995,49.995,-0.05000000000002558,0
13,50.034,50.0571,49.9925,49.9925,-0.024999999999977263,0
14,50.029,50.0571,49.9925,49.9925,0.0,0
15,50.027,50.0526,50.0,50.0,0.07500000000000284,0
16,50.025,49.7874,49.995,49.995,-0.05000000000002558,0
17,50.025,50.0596,49.995,49.995,0.0,0
18,50.026,50.0571,49.99,49.99,-0.049999999999954525,0
19,50.025,50.0566,49.9925,49.9925,0.024999999999977263,0
20,50.022,50.0561,49.9925,49.9925,0.0,0
21,50.02,50.0596,49.995,49.995,0.024999999999977263,0
22,50.016,50.0531,50.005,50.005,0.10000000000005116,0
23,50.012,49.7929,49.995,49.995,-0.10000000000005116,0
24,50.007,50.0551,50.0025,50.0025,0.07500000000000284,0
25,50.003,50.0541,49.9925,49.9925,-0.0999999999999801,0
26,49.999,50.0521,49.995,49.995,0.024999999999977263,0
27,49.997,50.049,49.9925,49.9925,-0.024999999999977263,0
28,49.995,50.0596,49.9875,49.9875,-0.05000000000002558,0
29,49.997,50.0531,49.9925,49.9925,0.05000000000002558,0
30,49.999,49.7909,49.9975,49.9975,0.05000000000002558,0
31,50.005,50.0581,50.0,50.0,0.024999999999977263,0
32,50.009,50.0551,50.0,50.0,0.0,0
33,50.012,50.0551,50.0025,50.0025,0.024999999999977263,0
34,50.014,50.0566,49.995,49.995,-0.07500000000000284,0
35,50.015,50.0571,50.0,50.0,0.05000000000002558,0
36,50.017,50.0626,50.0025,50.0025,0.024999999999977263,0
37,50.019,50.0526,49.985,49.985,-0.17499999999998295,0
38,50.015,50.0591,49.9975,49.9975,0.12500000000002842,0
39,50.01,50.0521,49.9875,49.9875,-0.10000000000005116,0
40,50.008,50.0591,49.995,49.995,0.07500000000000284,0
41,50.006,50.0571,49.995,49.995,0.0,0
42,50.004,50.0551,49.975,49.975,-0.1999999999999602,0
43,49.999,50.0581,49.9975,49.9975,0.22500000000000853,0
44,49.995,50.0561,50.0025,50.0025,0.049999999999954525,0
45,49.921,50.0571,50.0,50.0,-0.024999999999977263,0
46,49.77,50.0496,49.98,49.98,-0.20000000000003126,0
47,49.633,50.0576,49.9775,49.9775,-0.024999999999977263,0
48,49.537,49.7909,50.0,50.0,0.22500000000000853,0
49,49.468,49.7222,49.7463,49.7222,-2.5370000000000203,1
50,49.428,49.5216,49.985,49.5216,-2.0060000000000144,1
51,49.372,49.3894,49.7339,49.3894,-1.3219999999999743,1
52,49.331,49.2591,49.5786,49.2591,-1.3030000000000541,1
53,49.294,49.2606,49.3328,49.2606,0.015000000000000568,1
54,49.272,49.3906,49.3243,49.3906,1.3000000000000256,1
55,49.274,49.0647,48.9309,49.0647,-3.258999999999972,1
56,49.225,49.2562,49.2975,49.2562,1.9149999999999778,1
57,49.205,49.0635,49.2951,49.0635,-1.927000000000021,1
58,49.197,49.0629,48.9045,49.0629,-0.0059999999999860165,1
59,49.173,49.0623,48.6879,49.0623,-0.0059999999999860165,1
60,49.151,48.998,49.3157,48.998,-0.6430000000000291,1
61,49.136,49.0611,49.3401,49.0611,0.6310000000000571,1
62,49.131,49.0647,48.676,49.0647,0.03599999999998715,1
63,49.126,49.0653,49.1219,49.0653,0.0059999999999860165,1
64,49.141,49.0629,48.9476,49.0629,-0.02400000000001512,1
65,49.141,49.0617,48.6902,49.0617,-0.011999999999972033,1
66,49.085,48.9985,49.3547,48.9985,-0.6320000000000192,1
67,49.107,49.0623,49.3303,49.0623,0.6380000000000052,1
68,49.117,49.3931,48.6902,49.3931,3.3079999999999643,1
69,49.12,49.0665,49.0942,49.0665,-3.265999999999991,1
70,49.083,49.0629,48.6973,49.0629,-0.03599999999998715,1
71,49.128,49.0641,48.6855,49.0641,0.012000000000043087,1
72,49.105,49.2596,49.215,49.2596,1.9549999999999557,1
73,49.1,49.0611,49.334,49.0611,-1.9849999999999568,1
74,49.152,49.0641,48.7068,49.0641,0.030000000000001137,1
75,49.136,49.0641,49.0629,49.0641,0.0,1
76,49.113,48.997,48.9321,48.997,-0.6710000000000349,1
77,49.133,48.998,48.6879,48.998,0.009999999999976694,1
78,49.15,49.0629,49.3133,49.0629,0.6490000000000151,1
79,49.16,49.3931,48.6879,49.3931,3.3019999999999783,1
80,49.168,49.0665,48.9764,49.0665,-3.265999999999991,1
81,49.173,49.3882,48.9812,49.3882,3.2169999999999987,1
82,49.182,49.39,49.1039,49.39,0.018000000000029104,1
83,49.228,49.3852,48.9416,49.3852,-0.04800000000003024,1
84,49.223,49.0653,48.9333,49.0653,-3.1989999999999696,1
85,49.231,49.0629,48.6784,49.0629,-0.02400000000001512,1
86,49.234,49.0635,49.1739,49.0635,0.0059999999999860165,1
87,49.217,49.0587,49.3316,49.0587,-0.047999999999959186,1
88,49.268,49.0623,49.3194,49.0623,0.03599999999998715,1
89,49.225,49.0593,49.0124,49.0593,-0.030000000000001137,1
90,49.238,49.2606,49.2441,49.2606,2.0129999999999626,1
91,49.235,49.3913,48.8138,49.3913,1.3070000000000448,1
92,49.214,49.0665,48.9345,49.0665,-3.248000000000033,1
93,49.264,49.2591,49.2708,49.2591,1.9259999999999877,1
94,49.2,49.0605,49.3376,49.0605,-1.98599999999999,1
95,49.258,49.3852,49.5688,49.3852,3.247,1
96,49.211,48.9913,49.2465,48.9913,-3.9389999999999503,1
97,49.192,49.2557,49.04,49.2557,2.6439999999999486,1
98,49.245,49.3876,48.6926,49.3876,1.3190000000000168,1
99,49.208,49.3876,49.0052,49.3876,0.0,1
100,49.188,49.2587,48.6926,49.2587,-1.2890000000000157,1
101,49.171,49.3919,49.3352,49.3919,1.332000000000022,1
102,49.192,49.3937,49.034,49.3937,0.018000000000029104,1
103,49.17,49.0581,49.0449,49.0581,-3.3559999999999945,1
104,49.121,49.3919,49.2781,49.3919,3.3379999999999654,1
105,49.093,49.0623,48.8162,49.0623,-3.2959999999999923,1
106,49.072,49.0665,48.6831,49.0665,0.04199999999997317,1
107,49.09,49.0659,49.0966,49.0659,-0.0059999999999860165,1
108,49.051,49.0617,48.6926,49.0617,-0.04199999999997317,1
109,49.009,49.0647,48.938,49.0647,0.030000000000001137,1
110,49.005,48.7341,48.7045,48.7341,-3.30600000000004,1
111,49.0,48.998,48.6902,48.998,2.638999999999996,1
112,48.983,49.0617,48.7116,49.0617,0.6370000000000431,1
113,48.943,49.0623,48.7543,49.0623,0.0059999999999860165,1
114,48.964,49.0659,48.6748,49.0659,0.03599999999998715,1
115,48.912,49.0635,48.6808,49.0635,-0.02400000000001512,1
116,48.892,49.0653,48.7033,49.0653,0.018000000000029104,1
117,48.868,48.7401,48.6926,48.7401,-3.2520000000000238,1
118,48.842,49.0593,48.8544,49.0593,3.1920000000000215,1
119,48.815,49.0617,48.6855,49.0617,0.02400000000001512,1
120,48.787,48.9942,48.6808,48.9942,-0.6750000000000256,1
121,48.821,48.9946,48.8329,48.9946,0.003999999999990678,1
122,48.837,48.7419,48.6772,48.7419,-2.5269999999999726,1
123,48.853,48.7413,48.6808,48.7413,-0.0059999999999860165,1
124,48.868,48.7448,48.6997,48.7448,0.03499999999995396,1
125,48.877,48.7377,48.6831,48.7377,-0.07100000000001216,1
126,48.897,48.7419,48.6831,48.7419,0.042000000000044224,1
127,48.87,49.0665,48.6808,49.0665,3.2459999999999667,1
128,48.919,48.7389,48.6926,48.7389,-3.275999999999968,1
129,48.932,49.0629,48.695,49.0629,3.2399999999999807,1
130,48.922,49.0599,48.6855,49.0599,-0.030000000000001137,1
131,48.941,48.7341,48.6855,48.7341,-3.2580000000000098,1
132,48.905,48.9956,48.6997,48.9956,2.6150000000000517,1
133,48.915,48.9975,48.7045,48.9975,0.018999999999991246,1
134,48.928,48.9994,48.6879,48.9994,0.018999999999991246,1
135,48.886,48.9994,48.6808,48.9994,0.0,1
136,48.919,48.7377,48.7436,48.7377,-2.617000000000047,1
137,48.902,48.9961,48.6973,48.9961,2.5840000000000174,1
138,48.924,48.9999,48.689,48.9999,0.03799999999998249,1
139,48.93,48.7391,48.815,48.7391,-2.6079999999999615,1
140,48.944,49.0018,48.6831,49.0018,2.6270000000000238,1
141,48.928,48.7405,48.6843,48.7405,-2.6130000000000564,1
142,48.964,48.9975,48.8854,48.9975,2.57000000000005,1
143,48.94,48.9951,48.6914,48.9951,-0.02400000000001512,1
144,48.973,48.9946,48.6808,48.9946,-0.005000000000023874,1
145,49.001,49.0018,48.7841,49.0018,0.07200000000004536,1
146,49.019,48.999,48.8962,48.999,-0.028000000000005798,1
147,49.026,48.9951,48.695,48.9951,-0.03900000000001569,1
148,49.026,49.0617,48.6808,49.0617,0.666000000000011,1
149,49.02,49.0623,49.0629,49.0623,0.0059999999999860165,1
150,49.009,49.0611,48.6879,49.0611,-0.011999999999972033,1
151,49.005,49.0599,48.8878,49.0599,-0.012000000000043087,1
152,49.023,49.0641,48.689,49.0641,0.042000000000044224,1
153,49.056,49.0623,48.6902,49.0623,-0.018000000000029104,1
154,49.083,49.0593,48.895,49.0593,-0.030000000000001137,1
155,49.08,49.0629,48.7009,49.0629,0.03599999999998715,1
156,49.06,49.3913,48.6784,49.3913,3.2840000000000202,1
157,49.055,49.2625,48.9045,49.2625,-1.2879999999999825,1
158,49.107,48.9994,48.9968,48.9994,-2.6310000000000144,1
159,49.057,49.0569,48.6831,49.0569,0.5749999999999744,1
160,49.108,49.0635,49.1087,49.0635,0.06599999999998829,1
161,49.067,48.7413,48.6902,48.7413,-3.2219999999999516,1
162,49.114,49.0635,48.6938,49.0635,3.2219999999999516,1
