# generate_3phase_trajectory.py output
# source: neso_trajectory.csv
"# cli   : generate_3phase_trajectory.py neso_trajectory.csv --thd-var 1.5,2.5,3.5 --mag-var 1,1,1 --out-prefix neso_3phase_thd_varied"
"# Va_thd_pct=1.5000, Vb_thd_pct=2.5000, Vc_thd_pct=3.5000"
"# Va_amp_frac=1.000000, Vb_amp_frac=1.000000, Vc_amp_frac=1.000000"
replay_index,f_target_hz,Va_amp_frac,Vb_amp_frac,Vc_amp_frac,Va_thd_pct,Vb_thd_pct,Vc_thd_pct
0,50.045000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
1,50.042000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
2,50.040000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
3,50.038000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
4,50.035000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
5,50.033000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
6,50.032000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
7,50.035000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
8,50.034000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
9,50.035000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
10,50.034000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
11,50.035000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
12,50.036000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
13,50.034000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
14,50.029000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
15,50.027000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
16,50.025000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
17,50.025000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
18,50.026000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
19,50.025000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
20,50.022000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
21,50.020000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
22,50.016000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
23,50.012000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
24,50.007000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
25,50.003000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
26,49.999000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
27,49.997000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
28,49.995000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
29,49.997000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
30,49.999000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
31,50.005000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
32,50.009000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
33,50.012000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
34,50.014000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
35,50.015000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
36,50.017000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
37,50.019000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
38,50.015000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
39,50.010000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
40,50.008000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
41,50.006000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
42,50.004000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
43,49.999000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
44,49.995000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
45,49.921000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
46,49.770000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
47,49.633000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
48,49.537000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
49,49.468000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
50,49.428000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
51,49.372000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
52,49.331000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
53,49.294000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
54,49.272000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
55,49.274000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
56,49.225000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
57,49.205000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
58,49.197000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
59,49.173000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
60,49.151000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
61,49.136000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
62,49.131000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
63,49.126000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
64,49.141000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
65,49.141000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
66,49.085000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
67,49.107000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
68,49.117000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
69,49.120000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
70,49.083000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
71,49.128000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
72,49.105000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
73,49.100000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
74,49.152000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
75,49.136000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
76,49.113000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
77,49.133000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
78,49.150000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
79,49.160000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
80,49.168000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
81,49.173000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
82,49.182000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
83,49.228000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
84,49.223000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
85,49.231000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
86,49.234000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
87,49.217000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
88,49.268000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
89,49.225000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
90,49.238000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
91,49.235000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
92,49.214000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
93,49.264000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
94,49.200000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
95,49.258000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
96,49.211000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
97,49.192000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
98,49.245000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
99,49.208000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
100,49.188000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
101,49.171000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
102,49.192000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
103,49.170000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
104,49.121000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
105,49.093000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
106,49.072000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
107,49.090000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
108,49.051000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
109,49.009000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
110,49.005000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
111,49.000000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
112,48.983000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
113,48.943000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
114,48.964000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
115,48.912000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
116,48.892000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
117,48.868000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
118,48.842000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
119,48.815000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
120,48.787000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
121,48.821000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
122,48.837000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
123,48.853000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
124,48.868000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
125,48.877000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
126,48.897000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
127,48.870000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
128,48.919000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
129,48.932000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
130,48.922000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
131,48.941000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
132,48.905000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
133,48.915000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
134,48.928000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
135,48.886000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
136,48.919000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
137,48.902000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
138,48.924000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
139,48.930000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
140,48.944000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
141,48.928000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
142,48.964000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
143,48.940000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
144,48.973000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
145,49.001000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
146,49.019000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
147,49.026000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
148,49.026000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
