index,frequency_hz
0,50.045000
1,50.042000
2,50.040000
3,50.038000
4,50.035000
5,50.033000
6,50.032000
7,50.035000
8,50.034000
9,50.035000
10,50.034000
11,50.035000
12,50.036000
13,50.034000
14,50.029000
15,50.027000
16,50.025000
17,50.025000
18,50.026000
19,50.025000
20,50.022000
21,50.020000
22,50.016000
23,50.012000
24,50.007000
25,50.003000
26,49.999000
27,49.997000
28,49.995000
29,49.997000
30,49.999000
31,50.005000
32,50.009000
33,50.012000
34,50.014000
35,50.015000
36,50.017000
37,50.019000
38,50.015000
39,50.010000
40,50.008000
41,50.006000
42,50.004000
43,49.999000
44,49.995000
45,49.921000
46,49.770000
47,49.633000
48,49.537000
49,49.468000
50,49.428000
51,49.372000
52,49.331000
53,49.294000
54,49.272000
55,49.274000
56,49.225000
57,49.205000
58,49.197000
59,49.173000
60,49.151000
61,49.136000
62,49.131000
63,49.126000
64,49.141000
65,49.141000
66,49.085000
67,49.107000
68,49.117000
69,49.120000
70,49.083000
71,49.128000
72,49.105000
73,49.100000
74,49.152000
75,49.136000
76,49.113000
77,49.133000
78,49.150000
79,49.160000
80,49.168000
81,49.173000
82,49.182000
83,49.228000
84,49.223000
85,49.231000
86,49.234000
87,49.217000
88,49.268000
89,49.225000
90,49.238000
91,49.235000
92,49.214000
93,49.264000
94,49.200000
95,49.258000
96,49.211000
97,49.192000
98,49.245000
99,49.208000
100,49.188000
101,49.171000
102,49.192000
103,49.170000
104,49.121000
105,49.093000
106,49.072000
107,49.090000
108,49.051000
109,49.009000
110,49.005000
111,49.000000
112,48.983000
113,48.943000
114,48.964000
115,48.912000
116,48.892000
117,48.868000
118,48.842000
119,48.815000
120,48.787000
121,48.821000
122,48.837000
123,48.853000
124,48.868000
125,48.877000
126,48.897000
127,48.870000
128,48.919000
129,48.932000
130,48.922000
131,48.941000
132,48.905000
133,48.915000
134,48.928000
135,48.886000
136,48.919000
137,48.902000
138,48.924000
139,48.930000
140,48.944000
141,48.928000
142,48.964000
143,48.940000
144,48.973000
145,49.001000
146,49.019000
147,49.026000
148,49.026000
149,49.020000
150,49.009000
151,49.005000
152,49.023000
153,49.056000
154,49.083000
155,49.080000
156,49.060000
157,49.055000
158,49.107000
159,49.057000
160,49.108000
161,49.067000
162,49.114000
163,49.069000
164,49.132000
165,49.087000
166,49.114000
167,49.105000
168,49.142000
169,49.184000
170,49.203000
171,49.216000
172,49.204000
173,49.207000
174,49.250000
175,49.256000
176,49.317000
177,49.299000
178,49.307000
179,49.367000
180,49.369000
181,49.367000
182,49.417000
183,49.417000
184,49.443000
185,49.441000
186,49.455000
187,49.467000
188,49.480000
189,49.487000
190,49.496000
191,49.502000
192,49.505000
193,49.509000
194,49.514000
195,49.518000
196,49.525000
197,49.528000
198,49.542000
199,49.535000
200,49.544000
201,49.554000
202,49.549000
203,49.561000
204,49.569000
205,49.583000
206,49.601000
207,49.617000
208,49.632000
209,49.643000
210,49.651000
211,49.658000
212,49.661000
213,49.663000
214,49.664000
215,49.666000
216,49.667000
217,49.668000
218,49.669000
219,49.670000
220,49.669000
221,49.670000
222,49.672000
223,49.676000
224,49.679000
225,49.684000
226,49.689000
227,49.696000
228,49.704000
229,49.709000
230,49.712000
231,49.712000
232,49.710000
233,49.709000
234,49.710000
235,49.708000
236,49.710000
237,49.712000
238,49.712000
239,49.718000
240,49.724000
241,49.727000
242,49.729000
243,49.731000
244,49.733000
245,49.734000
246,49.733000
247,49.729000
248,49.726000
249,49.724000
250,49.723000
251,49.725000
252,49.729000
253,49.734000
254,49.740000
255,49.743000
256,49.748000
257,49.763000
258,49.763000
259,49.760000
260,49.763000
261,49.760000
262,49.758000
263,49.758000
264,49.759000
265,49.760000
266,49.764000
267,49.771000
268,49.776000
269,49.782000
270,49.791000
271,49.798000
272,49.809000
273,49.817000
274,49.824000
275,49.828000
276,49.832000
277,49.836000
278,49.842000
279,49.847000
280,49.852000
281,49.860000
282,49.863000
283,49.875000
284,49.885000
285,49.895000
286,49.902000
287,49.911000
288,49.920000
289,49.929000
290,49.937000
291,49.945000
292,49.952000
293,49.955000
294,49.956000
295,49.957000
296,49.959000
297,49.959000
298,49.959000
299,49.959000
300,49.961000
301,49.959000
302,49.958000
303,49.958000
304,49.957000
305,49.957000
306,49.958000
307,49.952000
308,49.959000
309,49.959000
310,49.961000
311,49.962000
312,49.963000
313,49.967000
314,49.971000
315,49.973000
316,49.974000
317,49.976000
318,49.978000
319,49.980000
320,49.983000
321,49.985000
322,49.988000
323,49.990000
324,49.992000
325,49.994000
326,49.997000
327,50.001000
328,50.006000
329,50.010000
330,50.012000
331,50.014000
332,50.010000
333,50.016000
334,50.019000
335,50.022000
336,50.022000
337,50.024000
338,50.024000
339,50.027000
340,50.031000
341,50.034000
342,50.036000
343,50.040000
344,50.043000
345,50.044000
346,50.048000
347,50.048000
348,50.049000
349,50.052000
350,50.054000
351,50.056000
352,50.057000
353,50.060000
354,50.063000
355,50.068000
356,50.074000
357,50.080000
358,50.085000
359,50.089000
