t_s,dtm,f_neso_Hz
0,2023-12-22 13:08:11,49.905
1,2023-12-22 13:08:12,49.907
2,2023-12-22 13:08:13,49.907
3,2023-12-22 13:08:14,49.905
4,2023-12-22 13:08:15,49.901
5,2023-12-22 13:08:16,49.900
6,2023-12-22 13:08:17,49.901
7,2023-12-22 13:08:18,49.903
8,2023-12-22 13:08:19,49.906
9,2023-12-22 13:08:20,49.912
10,2023-12-22 13:08:21,49.915
11,2023-12-22 13:08:22,49.916
12,2023-12-22 13:08:23,49.917
13,2023-12-22 13:08:24,49.919
14,2023-12-22 13:08:25,49.920
15,2023-12-22 13:08:26,49.918
16,2023-12-22 13:08:27,49.920
17,2023-12-22 13:08:28,49.920
18,2023-12-22 13:08:29,49.914
19,2023-12-22 13:08:30,49.910
20,2023-12-22 13:08:31,49.904
21,2023-12-22 13:08:32,49.901
22,2023-12-22 13:08:33,49.896
23,2023-12-22 13:08:34,49.897
24,2023-12-22 13:08:35,49.900
25,2023-12-22 13:08:36,49.905
26,2023-12-22 13:08:37,49.905
27,2023-12-22 13:08:38,49.906
28,2023-12-22 13:08:39,49.908
29,2023-12-22 13:08:40,49.912
30,2023-12-22 13:08:41,49.918
31,2023-12-22 13:08:42,49.917
32,2023-12-22 13:08:43,49.921
33,2023-12-22 13:08:44,49.922
34,2023-12-22 13:08:45,49.921
35,2023-12-22 13:08:46,49.917
36,2023-12-22 13:08:47,49.918
37,2023-12-22 13:08:48,49.920
38,2023-12-22 13:08:49,49.920
39,2023-12-22 13:08:50,49.926
40,2023-12-22 13:08:51,49.926
41,2023-12-22 13:08:52,49.923
42,2023-12-22 13:08:53,49.918
43,2023-12-22 13:08:54,49.916
44,2023-12-22 13:08:55,49.916
45,2023-12-22 13:08:56,49.914
46,2023-12-22 13:08:57,49.910
47,2023-12-22 13:08:58,49.908
48,2023-12-22 13:08:59,49.909
49,2023-12-22 13:09:00,49.908
50,2023-12-22 13:09:01,49.904
51,2023-12-22 13:09:02,49.903
52,2023-12-22 13:09:03,49.906
53,2023-12-22 13:09:04,49.904
54,2023-12-22 13:09:05,49.908
55,2023-12-22 13:09:06,49.908
56,2023-12-22 13:09:07,49.910
57,2023-12-22 13:09:08,49.911
58,2023-12-22 13:09:09,49.912
59,2023-12-22 13:09:10,49.911
60,2023-12-22 13:09:11,49.904
61,2023-12-22 13:09:12,49.897
62,2023-12-22 13:09:13,49.894
63,2023-12-22 13:09:14,49.895
64,2023-12-22 13:09:15,49.898
65,2023-12-22 13:09:16,49.899
66,2023-12-22 13:09:17,49.897
67,2023-12-22 13:09:18,49.893
68,2023-12-22 13:09:19,49.892
69,2023-12-22 13:09:20,49.891
70,2023-12-22 13:09:21,49.894
71,2023-12-22 13:09:22,49.896
72,2023-12-22 13:09:23,49.899
73,2023-12-22 13:09:24,49.894
74,2023-12-22 13:09:25,49.897
75,2023-12-22 13:09:26,49.901
76,2023-12-22 13:09:27,49.902
77,2023-12-22 13:09:28,49.899
78,2023-12-22 13:09:29,49.900
79,2023-12-22 13:09:30,49.900
80,2023-12-22 13:09:31,49.900
81,2023-12-22 13:09:32,49.898
82,2023-12-22 13:09:33,49.897
83,2023-12-22 13:09:34,49.900
84,2023-12-22 13:09:35,49.897
85,2023-12-22 13:09:36,49.895
86,2023-12-22 13:09:37,49.892
87,2023-12-22 13:09:38,49.892
88,2023-12-22 13:09:39,49.891
89,2023-12-22 13:09:40,49.890
90,2023-12-22 13:09:41,49.891
91,2023-12-22 13:09:42,49.889
92,2023-12-22 13:09:43,49.885
93,2023-12-22 13:09:44,49.881
94,2023-12-22 13:09:45,49.879
95,2023-12-22 13:09:46,49.881
96,2023-12-22 13:09:47,49.880
97,2023-12-22 13:09:48,49.879
98,2023-12-22 13:09:49,49.878
99,2023-12-22 13:09:50,49.879
100,2023-12-22 13:09:51,49.880
101,2023-12-22 13:09:52,49.826
102,2023-12-22 13:09:53,49.724
103,2023-12-22 13:09:54,49.665
104,2023-12-22 13:09:55,49.644
105,2023-12-22 13:09:56,49.647
106,2023-12-22 13:09:57,49.657
107,2023-12-22 13:09:58,49.664
108,2023-12-22 13:09:59,49.666
109,2023-12-22 13:10:00,49.615
110,2023-12-22 13:10:01,49.580
111,2023-12-22 13:10:02,49.564
112,2023-12-22 13:10:03,49.498
113,2023-12-22 13:10:04,49.440
114,2023-12-22 13:10:05,49.376
115,2023-12-22 13:10:06,49.333
116,2023-12-22 13:10:07,49.300
117,2023-12-22 13:10:08,49.287
118,2023-12-22 13:10:09,49.304
119,2023-12-22 13:10:10,49.278
120,2023-12-22 13:10:11,49.275
121,2023-12-22 13:10:12,49.291
122,2023-12-22 13:10:13,49.326
123,2023-12-22 13:10:14,49.301
124,2023-12-22 13:10:15,49.301
125,2023-12-22 13:10:16,49.327
126,2023-12-22 13:10:17,49.336
127,2023-12-22 13:10:18,49.363
